类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:50
照度(lx),31.08
烛光E(fc),2.89
相关色温(K),100000
黑体偏离duv,0.01093
坐标x,0.2298
坐标y,0.2407
坐标u,0.1694
坐标v,0.2660
坐标u’,0.1694
坐标v’,0.3990
SDCM,59.35
显色指数(Ra),90.5
R1,90
R2,95
R3,88
R4,84
R5,92
R6,96
R7,92
R8,87
R9,59
R10,92
R11,84
R12,95
R13,91
R14,93
R15,87
明暗视觉比S/P,3.757
主波长(nm),478.90
色纯度(%),43.6
半宽度(nm),110.8
峰值波长(nm),471.9
中心波长(nm),460.7
质心波长(nm),528.1
红色比(%),22.4
绿色比(%),30.6
蓝色比(%),47.0
视黑素照度(lx),57.2
生理等效照度(lx),52.1
视黑素比,1.840
视黑素EDI(lx),51.8
积分时间(ms),1700
峰值信号,56575
暗信号,3661
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0.0038710027001798153
381,0.0018576262518763542
382,0.00023071991745382547
383,0
384,0.00093821034533903
385,0.0019400770543143153
386,0.0024922825396060944
387,0.0030717940535396338
388,0.0036095664836466312
389,0.00485194893553853
390,0.008124832063913345
391,0.014094379730522633
392,0.022131362929940224
393,0.03255914896726608
394,0.046843741089105606
395,0.0656493604183197
396,0.089848592877388
397,0.12009498476982117
398,0.1570371836423874
399,0.19582393765449524
400,0.2375117689371109
401,0.28000298142433167
402,0.3272459805011749
403,0.37798941135406494
404,0.4319629669189453
405,0.48911580443382263
406,0.5486023426055908
407,0.6037137508392334
408,0.6528136134147644
409,0.6959860324859619
410,0.7289518117904663
411,0.7516102194786072
412,0.766427218914032
413,0.7775525450706482
414,0.7839892506599426
415,0.7882344722747803
416,0.7985795140266418
417,0.8134880661964417
418,0.8313235640525818
419,0.8519890904426575
420,0.8756847977638245
421,0.896427571773529
422,0.9123891592025757
423,0.9228449463844299
424,0.9262840747833252
425,0.9203236699104309
426,0.9099395275115967
427,0.8990157842636108
428,0.8902291655540466
429,0.887067437171936
430,0.891642153263092
431,0.9025313854217529
432,0.9171927571296692
433,0.9361693859100342
434,0.9565203785896301
435,0.9753809571266174
436,0.9879134893417358
437,0.9946780204772949
438,0.9976273775100708
439,0.9945599436759949
440,0.9849689602851868
441,0.9733700752258301
442,0.956652820110321
443,0.9376158714294434
444,0.9186346530914307
445,0.9062062501907349
446,0.9018715023994446
447,0.9041557908058167
448,0.9131904244422913
449,0.9277063608169556
450,0.9488195180892944
451,0.9740471839904785
452,0.9991294145584106
453,1.0233485698699951
454,1.0457160472869873
455,1.0575475692749023
456,1.0605318546295166
457,1.057924509048462
458,1.0411436557769775
459,1.0211702585220337
460,0.9993044137954712
461,0.9777507781982422
462,0.9643517732620239
463,0.966646671295166
464,0.973710834980011
465,0.9913774728775024
466,1.015920877456665
467,1.043871521949768
468,1.0722181797027588
469,1.1057907342910767
470,1.1350021362304688
471,1.1547274589538574
472,1.1624953746795654
473,1.160334587097168
474,1.1359704732894897
475,1.09696364402771
476,1.054755449295044
477,1.0109142065048218
478,0.9632113575935364
479,0.9170365333557129
480,0.8785772919654846
481,0.8500889539718628
482,0.830758810043335
483,0.8240112066268921
484,0.8266473412513733
485,0.8339201807975769
486,0.8417433500289917
487,0.8462532758712769
488,0.8444846868515015
489,0.8375070691108704
490,0.827835202217102
491,0.8163636922836304
492,0.8065150380134583
493,0.7963835000991821
494,0.783786416053772
495,0.7710688710212708
496,0.7603266835212708
497,0.744691014289856
498,0.7281001806259155
499,0.7105570435523987
500,0.6917606592178345
501,0.6754747033119202
502,0.6620544195175171
503,0.6520103216171265
504,0.6454519629478455
505,0.6424533128738403
506,0.6406533718109131
507,0.6406475901603699
508,0.6419429779052734
509,0.6426681280136108
510,0.6407790780067444
511,0.6364907622337341
512,0.6302562952041626
513,0.6216399073600769
514,0.6113638281822205
515,0.5979021787643433
516,0.5839751362800598
517,0.5730658769607544
518,0.562654435634613
519,0.5539336800575256
520,0.5448956489562988
521,0.537647008895874
522,0.5327491760253906
523,0.5281569957733154
524,0.5240557193756104
525,0.5203908085823059
526,0.5187220573425293
527,0.5180941224098206
528,0.5188232064247131
529,0.5210780501365662
530,0.5230133533477783
531,0.5226079821586609
532,0.5208017826080322
533,0.5172984600067139
534,0.5110710859298706
535,0.5049339532852173
536,0.4988595247268677
537,0.49267831444740295
538,0.4841669499874115
539,0.47462379932403564
540,0.46687012910842896
541,0.45881280303001404
542,0.4499220848083496
543,0.44201311469078064
544,0.43647971749305725
545,0.4320356547832489
546,0.4275909662246704
547,0.4240950047969818
548,0.4216371774673462
549,0.4197268784046173
550,0.4187059700489044
551,0.419557124376297
552,0.42066773772239685
553,0.42095842957496643
554,0.4216626286506653
555,0.42263683676719666
556,0.42020338773727417
557,0.4169515073299408
558,0.41316866874694824
559,0.40829652547836304
560,0.4037861227989197
561,0.40041670203208923
562,0.3966280221939087
563,0.39380648732185364
564,0.389698326587677
565,0.38261693716049194
566,0.37559303641319275
567,0.3697737753391266
568,0.3630874752998352
569,0.35586538910865784
570,0.35040348768234253
571,0.3460671901702881
572,0.3406190574169159
573,0.3381875455379486
574,0.336681991815567
575,0.3343011736869812
576,0.3313411772251129
577,0.3295036852359772
578,0.328492134809494
579,0.32878050208091736
580,0.329434335231781
581,0.33010387420654297
582,0.3313804268836975
583,0.33038029074668884
584,0.3278471827507019
585,0.32581833004951477
586,0.3241080045700073
587,0.32255056500434875
588,0.3208528757095337
589,0.31952139735221863
590,0.31724852323532104
591,0.3115590512752533
592,0.3043065071105957
593,0.2986316978931427
594,0.2926657795906067
595,0.2848554253578186
596,0.2793242335319519
597,0.2724115252494812
598,0.2673392593860626
599,0.262271910905838
600,0.2590178847312927
601,0.2557153105735779
602,0.2543456554412842
603,0.2511986196041107
604,0.24817486107349396
605,0.24649780988693237
606,0.24624592065811157
607,0.24643778800964355
608,0.2455759346485138
609,0.243703231215477
610,0.24171113967895508
611,0.23893038928508759
612,0.23618747293949127
613,0.23542965948581696
614,0.23600655794143677
615,0.23453092575073242
616,0.23350630700588226
617,0.23155459761619568
618,0.2284717559814453
619,0.22570611536502838
620,0.2240636795759201
621,0.22196432948112488
622,0.22205756604671478
623,0.2226644605398178
624,0.21961739659309387
625,0.2165156751871109
626,0.2144467979669571
627,0.21010807156562805
628,0.2056214064359665
629,0.20553845167160034
630,0.2050037831068039
631,0.20287832617759705
632,0.20293958485126495
633,0.20265784859657288
634,0.20112000405788422
635,0.20125317573547363
636,0.20178118348121643
637,0.2009204775094986
638,0.2002047598361969
639,0.2009052336215973
640,0.20190072059631348
641,0.2032749354839325
642,0.20385625958442688
643,0.20587748289108276
644,0.20676863193511963
645,0.2064920961856842
646,0.20639711618423462
647,0.2077467441558838
648,0.20952758193016052
649,0.21194776892662048
650,0.21247631311416626
651,0.21486377716064453
652,0.2159523069858551
653,0.21650338172912598
654,0.21721340715885162
655,0.2179824411869049
656,0.21698348224163055
657,0.2156117707490921
658,0.2115381807088852
659,0.20677125453948975
660,0.20323997735977173
661,0.19999821484088898
662,0.1994551569223404
663,0.19947589933872223
664,0.1998477429151535
665,0.20105649530887604
666,0.20202665030956268
667,0.20197643339633942
668,0.2022968828678131
669,0.20235519111156464
670,0.2029116153717041
671,0.20459121465682983
672,0.20520395040512085
673,0.2068096250295639
674,0.21085603535175323
675,0.21412841975688934
676,0.2150140255689621
677,0.21655941009521484
678,0.21880380809307098
679,0.22160355746746063
680,0.22476767003536224
681,0.22755084931850433
682,0.23062682151794434
683,0.23180042207241058
684,0.23198498785495758
685,0.23443995416164398
686,0.24023541808128357
687,0.2441926896572113
688,0.2460223138332367
689,0.24852608144283295
690,0.24682335555553436
691,0.24335846304893494
692,0.24036693572998047
693,0.24034938216209412
694,0.23695294559001923
695,0.23433123528957367
696,0.23236727714538574
697,0.23181110620498657
698,0.22802351415157318
699,0.2262805700302124
700,0.22438813745975494
701,0.21916711330413818
702,0.2152436524629593
703,0.20873989164829254
704,0.2014135718345642
705,0.19811253249645233
706,0.19504134356975555
707,0.1916699856519699
708,0.19481134414672852
709,0.19757555425167084
710,0.19654050469398499
711,0.19719351828098297
712,0.19992157816886902
713,0.20139479637145996
714,0.20630665123462677
715,0.21290218830108643
716,0.2165207713842392
717,0.22053146362304688
718,0.22077839076519012
719,0.21567174792289734
720,0.20885483920574188
721,0.20349428057670593
722,0.19590924680233002
723,0.19208967685699463
724,0.19281384348869324
725,0.1938316375017166
726,0.19346870481967926
727,0.19609946012496948
728,0.1941942423582077
729,0.19168026745319366
730,0.1889609396457672
731,0.1878724843263626
732,0.18663939833641052
733,0.18868780136108398
734,0.1922968029975891
735,0.1965954303741455
736,0.19820548593997955
737,0.19792453944683075
738,0.19644895195960999
739,0.19814759492874146
740,0.19547156989574432
741,0.1966184675693512
742,0.2020891159772873
743,0.20779235661029816
744,0.2028558850288391
745,0.1936877816915512
746,0.1892007291316986
747,0.18175919353961945
748,0.17892241477966309
749,0.18384607136249542
750,0.18792735040187836
751,0.19119764864444733
752,0.19447606801986694
753,0.19198133051395416
754,0.18996645510196686
755,0.19112683832645416
756,0.18873615562915802
757,0.1877000629901886
758,0.19010183215141296
759,0.19003033638000488
760,0.18983453512191772
761,0.19322572648525238
762,0.1958809494972229
763,0.1978386789560318
764,0.20274445414543152
765,0.2122550755739212
766,0.21931712329387665
767,0.23670165240764618
768,0.2518290877342224
769,0.2575935423374176
770,0.2615753710269928
771,0.2593262493610382
772,0.2508706748485565
773,0.23727856576442719
774,0.23248174786567688
775,0.22639502584934235
776,0.21742549538612366
777,0.20908355712890625
778,0.19996432960033417
779,0.17909666895866394
780,0.1553010493516922
