类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:52
照度(lx),127.99
烛光E(fc),11.89
相关色温(K),10930
黑体偏离duv,0.01671
坐标x,0.2648
坐标y,0.3021
坐标u,0.1738
坐标v,0.2974
坐标u’,0.1738
坐标v’,0.4460
SDCM,34.65
显色指数(Ra),87.4
R1,85
R2,94
R3,88
R4,80
R5,87
R6,94
R7,91
R8,80
R9,36
R10,90
R11,80
R12,90
R13,87
R14,92
R15,80
明暗视觉比S/P,3.052
主波长(nm),485.60
色纯度(%),25.6
半宽度(nm),151.3
峰值波长(nm),472.9
中心波长(nm),486.9
质心波长(nm),530.5
红色比(%),21.2
绿色比(%),39.7
蓝色比(%),39.2
视黑素照度(lx),182.3
生理等效照度(lx),166.1
视黑素比,1.424
视黑素EDI(lx),164.4
积分时间(ms),580
峰值信号,57087
暗信号,3850
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0.013911076821386814
381,0.015398874878883362
382,0.012640034779906273
383,0.01425526849925518
384,0.020354382693767548
385,0.02087000012397766
386,0.01770807057619095
387,0.017986783757805824
388,0.01864321529865265
389,0.02049368806183338
390,0.025906745344400406
391,0.03524353727698326
392,0.05001272261142731
393,0.0709381103515625
394,0.09854894876480103
395,0.13548792898654938
396,0.1823456883430481
397,0.24183021485805511
398,0.3127930462360382
399,0.39311710000038147
400,0.4831477105617523
401,0.5739542841911316
402,0.6690877676010132
403,0.7735346555709839
404,0.8820383548736572
405,0.9932517409324646
406,1.1155246496200562
407,1.2328813076019287
408,1.3373990058898926
409,1.433314323425293
410,1.5088266134262085
411,1.5608024597167969
412,1.5931782722473145
413,1.6188234090805054
414,1.6329158544540405
415,1.655543565750122
416,1.6926391124725342
417,1.738142967224121
418,1.7903679609298706
419,1.8502017259597778
420,1.91278076171875
421,1.9700344800949097
422,2.019118070602417
423,2.056896686553955
424,2.0744357109069824
425,2.069577693939209
426,2.057286024093628
427,2.0486416816711426
428,2.037322759628296
429,2.042360782623291
430,2.0670573711395264
431,2.1023640632629395
432,2.1405792236328125
433,2.1891069412231445
434,2.2458295822143555
435,2.2983548641204834
436,2.3418190479278564
437,2.3727974891662598
438,2.3946902751922607
439,2.3978986740112305
440,2.3838436603546143
441,2.365586280822754
442,2.3409316539764404
443,2.3103091716766357
444,2.279020309448242
445,2.2657887935638428
446,2.2686173915863037
447,2.288754463195801
448,2.3255879878997803
449,2.3853752613067627
450,2.4561946392059326
451,2.5362396240234375
452,2.621325969696045
453,2.700580596923828
454,2.760028839111328
455,2.7948501110076904
456,2.7937755584716797
457,2.775251626968384
458,2.747593402862549
459,2.715747833251953
460,2.6878912448883057
461,2.6771576404571533
462,2.68033504486084
463,2.7085187435150146
464,2.761230707168579
465,2.831362724304199
466,2.918107271194458
467,3.0205235481262207
468,3.1242706775665283
469,3.2322072982788086
470,3.333911895751953
471,3.4131534099578857
472,3.4582343101501465
473,3.4728333950042725
474,3.4234261512756348
475,3.3300721645355225
476,3.2240078449249268
477,3.108203172683716
478,2.9762232303619385
479,2.8548247814178467
480,2.7547221183776855
481,2.6884868144989014
482,2.6518044471740723
483,2.6560075283050537
484,2.6812069416046143
485,2.7171099185943604
486,2.751939296722412
487,2.7820191383361816
488,2.793703317642212
489,2.793579578399658
490,2.7777774333953857
491,2.7572922706604004
492,2.7331175804138184
493,2.7093656063079834
494,2.6800568103790283
495,2.6536331176757812
496,2.622645616531372
497,2.58286452293396
498,2.536463737487793
499,2.4874324798583984
500,2.437551736831665
501,2.4002203941345215
502,2.3663806915283203
503,2.3405632972717285
504,2.3314316272735596
505,2.3329668045043945
506,2.334594488143921
507,2.3432772159576416
508,2.352771759033203
509,2.3582072257995605
510,2.3568153381347656
511,2.350996255874634
512,2.3351962566375732
513,2.3155860900878906
514,2.2901060581207275
515,2.2472774982452393
516,2.2026455402374268
517,2.173798084259033
518,2.144441604614258
519,2.117036819458008
520,2.093294382095337
521,2.0714495182037354
522,2.053122043609619
523,2.042865753173828
524,2.0397467613220215
525,2.036707878112793
526,2.0423810482025146
527,2.0534374713897705
528,2.060098886489868
529,2.066561698913574
530,2.077141523361206
531,2.082296848297119
532,2.0847742557525635
533,2.0859906673431396
534,2.0785672664642334
535,2.0648179054260254
536,2.0529861450195312
537,2.0314981937408447
538,1.9951937198638916
539,1.9638221263885498
540,1.937138319015503
541,1.9078232049942017
542,1.8827732801437378
543,1.8588674068450928
544,1.8328689336776733
545,1.813639760017395
546,1.7980005741119385
547,1.789811134338379
548,1.7895270586013794
549,1.7945562601089478
550,1.7976524829864502
551,1.8048471212387085
552,1.812910795211792
553,1.8193203210830688
554,1.8249578475952148
555,1.8338944911956787
556,1.8359521627426147
557,1.8298615217208862
558,1.8238134384155273
559,1.8162182569503784
560,1.8042112588882446
561,1.7901480197906494
562,1.7710036039352417
563,1.747123122215271
564,1.7212833166122437
565,1.6939706802368164
566,1.6687984466552734
567,1.6518304347991943
568,1.6342799663543701
569,1.617605209350586
570,1.6004509925842285
571,1.5841330289840698
572,1.5681614875793457
573,1.5597563982009888
574,1.5536398887634277
575,1.5494985580444336
576,1.5450923442840576
577,1.545346975326538
578,1.547951102256775
579,1.548435091972351
580,1.54960298538208
581,1.549855351448059
582,1.5460811853408813
583,1.5365955829620361
584,1.527713656425476
585,1.5192540884017944
586,1.5098330974578857
587,1.498684287071228
588,1.4898310899734497
589,1.478705644607544
590,1.4607188701629639
591,1.4388874769210815
592,1.4157814979553223
593,1.392204761505127
594,1.3693678379058838
595,1.3468371629714966
596,1.325831651687622
597,1.300955891609192
598,1.2732237577438354
599,1.2502261400222778
600,1.2314510345458984
601,1.216996192932129
602,1.2091842889785767
603,1.205750584602356
604,1.1974713802337646
605,1.1905561685562134
606,1.1860111951828003
607,1.1802761554718018
608,1.1734434366226196
609,1.1693909168243408
610,1.1653920412063599
611,1.1582804918289185
612,1.154819369316101
613,1.1512833833694458
614,1.1492489576339722
615,1.1445035934448242
616,1.1383965015411377
617,1.1293401718139648
618,1.1212478876113892
619,1.1080573797225952
620,1.0921586751937866
621,1.07636296749115
622,1.0631316900253296
623,1.0469712018966675
624,1.030179500579834
625,1.0160212516784668
626,1.0049445629119873
627,0.9857627153396606
628,0.9691964387893677
629,0.957838237285614
630,0.9475916624069214
631,0.9373565316200256
632,0.9333922863006592
633,0.9309328198432922
634,0.9273186922073364
635,0.9210007190704346
636,0.9112588167190552
637,0.9015476107597351
638,0.8915969729423523
639,0.8858082890510559
640,0.8855797052383423
641,0.8876824378967285
642,0.8882890939712524
643,0.8881474733352661
644,0.8854889869689941
645,0.8801898956298828
646,0.8754004240036011
647,0.8755662441253662
648,0.8760793805122375
649,0.8744716048240662
650,0.8729061484336853
651,0.8694606423377991
652,0.8650135397911072
653,0.8613895177841187
654,0.8593840003013611
655,0.8520781397819519
656,0.8411921858787537
657,0.8249678015708923
658,0.8064348697662354
659,0.7892192006111145
660,0.7787900567054749
661,0.7660514712333679
662,0.7581884860992432
663,0.7518781423568726
664,0.7456196546554565
665,0.736233115196228
666,0.7321071028709412
667,0.7270018458366394
668,0.7211154103279114
669,0.7168461084365845
670,0.7121241092681885
671,0.7092169523239136
672,0.7078067064285278
673,0.7070695161819458
674,0.7019397020339966
675,0.6991987228393555
676,0.695590615272522
677,0.6927086114883423
678,0.6921148300170898
679,0.694905161857605
680,0.6977630853652954
681,0.699404776096344
682,0.7001611590385437
683,0.6961849331855774
684,0.6921137571334839
685,0.6906242370605469
686,0.6916972994804382
687,0.6946802735328674
688,0.6949448585510254
689,0.6919956803321838
690,0.6850132942199707
691,0.6774487495422363
692,0.6639928817749023
693,0.649215817451477
694,0.636027991771698
695,0.6204332709312439
696,0.6060335040092468
697,0.5929094552993774
698,0.5777512788772583
699,0.5663540363311768
700,0.5531225800514221
701,0.535059928894043
702,0.520435631275177
703,0.5047675371170044
704,0.4891357719898224
705,0.47773414850234985
706,0.46841296553611755
707,0.4556765854358673
708,0.45135581493377686
709,0.4463519752025604
710,0.44065120816230774
711,0.43725234270095825
712,0.4408891201019287
713,0.4420691728591919
714,0.44434070587158203
715,0.44245782494544983
716,0.4415607452392578
717,0.43954190611839294
718,0.4375566244125366
719,0.43044745922088623
720,0.41833770275115967
721,0.40644457936286926
722,0.39048251509666443
723,0.37479186058044434
724,0.3664858937263489
725,0.36270537972450256
726,0.3582150340080261
727,0.3524562418460846
728,0.34351298213005066
729,0.3326597213745117
730,0.3248952627182007
731,0.31383398175239563
732,0.30835309624671936
733,0.3071814775466919
734,0.30169016122817993
735,0.29876792430877686
736,0.2949466407299042
737,0.288276731967926
738,0.2783298194408417
739,0.2717503309249878
740,0.2632279098033905
741,0.2587116062641144
742,0.2572503089904785
743,0.2613564729690552
744,0.2587912082672119
745,0.24972648918628693
746,0.2439662367105484
747,0.2339768409729004
748,0.22421970963478088
749,0.2254759967327118
750,0.22989587485790253
751,0.23039491474628448
752,0.23151442408561707
753,0.22898665070533752
754,0.21888726949691772
755,0.21179915964603424
756,0.20817673206329346
757,0.20594234764575958
758,0.20797373354434967
759,0.21315421164035797
760,0.2198064625263214
761,0.21793293952941895
762,0.2153916209936142
763,0.2151416540145874
764,0.21572038531303406
765,0.21332426369190216
766,0.2165171205997467
767,0.2351599484682083
768,0.24769924581050873
769,0.254511296749115
770,0.26082855463027954
771,0.26036015152931213
772,0.24666860699653625
773,0.22698388993740082
774,0.2225683182477951
775,0.2149438112974167
776,0.20431607961654663
777,0.19877739250659943
778,0.1973402053117752
779,0.1760968416929245
780,0.15508317947387695
