类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:49
照度(lx),113.00
烛光E(fc),10.50
相关色温(K),2956
黑体偏离duv,0.00329
坐标x,0.4451
坐标y,0.4153
坐标u,0.2510
坐标v,0.3513
坐标u’,0.2510
坐标v’,0.5269
SDCM,5.20
显色指数(Ra),95.2
R1,94
R2,97
R3,99
R4,93
R5,94
R6,96
R7,97
R8,92
R9,83
R10,93
R11,92
R12,91
R13,95
R14,100
R15,93
明暗视觉比S/P,1.412
主波长(nm),581.90
色纯度(%),58.3
半宽度(nm),196.8
峰值波长(nm),689.0
中心波长(nm),645.5
质心波长(nm),626.2
红色比(%),64.1
绿色比(%),28.4
蓝色比(%),7.5
视黑素照度(lx),61.5
生理等效照度(lx),56.2
视黑素比,0.545
视黑素EDI(lx),55.8
积分时间(ms),990
峰值信号,54559
暗信号,3644
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0.010782458819448948
381,0.012628890573978424
382,0.010687263682484627
383,0.009075669571757317
384,0.010021385736763477
385,0.012523696757853031
386,0.011736495420336723
387,0.011715823784470558
388,0.010234715417027473
389,0.007608725223690271
390,0.0056978086940944195
391,0.006097298581153154
392,0.005773827899247408
393,0.006368979346007109
394,0.009311394765973091
395,0.01149844378232956
396,0.017213210463523865
397,0.025013167411088943
398,0.03441308066248894
399,0.042684536427259445
400,0.05303313583135605
401,0.0636264830827713
402,0.07627050578594208
403,0.09372271597385406
404,0.11228755116462708
405,0.13162262737751007
406,0.1528424471616745
407,0.17250263690948486
408,0.18648362159729004
409,0.20039230585098267
410,0.21213465929031372
411,0.21915054321289062
412,0.22623994946479797
413,0.23350374400615692
414,0.23712319135665894
415,0.23939712345600128
416,0.24496781826019287
417,0.25009775161743164
418,0.2554442584514618
419,0.2619714140892029
420,0.26947352290153503
421,0.27604857087135315
422,0.28063973784446716
423,0.28600209951400757
424,0.2912404537200928
425,0.2953334152698517
426,0.29555901885032654
427,0.29628926515579224
428,0.29742711782455444
429,0.2988986670970917
430,0.30184727907180786
431,0.30943334102630615
432,0.3172721862792969
433,0.32612529397010803
434,0.3364347815513611
435,0.34788498282432556
436,0.35909929871559143
437,0.36903899908065796
438,0.3773953914642334
439,0.38308441638946533
440,0.3837524354457855
441,0.3856050670146942
442,0.3859582245349884
443,0.38539737462997437
444,0.3848409354686737
445,0.3868556320667267
446,0.3910579979419708
447,0.39718687534332275
448,0.40561479330062866
449,0.41804102063179016
450,0.43549227714538574
451,0.45408985018730164
452,0.4720122516155243
453,0.49015510082244873
454,0.5077373385429382
455,0.5205489993095398
456,0.5280124545097351
457,0.5333432555198669
458,0.535568356513977
459,0.5345565676689148
460,0.5336823463439941
461,0.5372162461280823
462,0.5438611507415771
463,0.5551114082336426
464,0.5703493356704712
465,0.591233491897583
466,0.6176844239234924
467,0.6523832082748413
468,0.6889137029647827
469,0.728561520576477
470,0.7645594477653503
471,0.7933713793754578
472,0.8127710223197937
473,0.8255208134651184
474,0.8275052309036255
475,0.8194756507873535
476,0.8060305118560791
477,0.7875692248344421
478,0.7668554186820984
479,0.7464728355407715
480,0.7322778105735779
481,0.7243033647537231
482,0.7258862853050232
483,0.7353999614715576
484,0.7531417012214661
485,0.7737551331520081
486,0.7947052717208862
487,0.8151767253875732
488,0.8307157754898071
489,0.8411756753921509
490,0.8520156145095825
491,0.8609941601753235
492,0.8688251972198486
493,0.8772481083869934
494,0.8882874846458435
495,0.8960185647010803
496,0.9019657969474792
497,0.9015032649040222
498,0.9001953601837158
499,0.8951191306114197
500,0.8903209567070007
501,0.8904753923416138
502,0.8927332758903503
503,0.897835910320282
504,0.9079458117485046
505,0.9242037534713745
506,0.9401962757110596
507,0.9601567387580872
508,0.9795863032341003
509,0.9983731508255005
510,1.012108325958252
511,1.0243853330612183
512,1.0337748527526855
513,1.0424818992614746
514,1.0480743646621704
515,1.0533870458602905
516,1.053234338760376
517,1.0533041954040527
518,1.0547853708267212
519,1.057715654373169
520,1.0595121383666992
521,1.0671027898788452
522,1.0797839164733887
523,1.0946323871612549
524,1.10963773727417
525,1.1256921291351318
526,1.144056797027588
527,1.1633938550949097
528,1.1843971014022827
529,1.2078031301498413
530,1.2310969829559326
531,1.2510887384414673
532,1.2703025341033936
533,1.2846007347106934
534,1.29585599899292
535,1.3070241212844849
536,1.3170157670974731
537,1.323154091835022
538,1.3256274461746216
539,1.3267267942428589
540,1.3279757499694824
541,1.3309823274612427
542,1.335328459739685
543,1.3414127826690674
544,1.3472111225128174
545,1.3552095890045166
546,1.363785743713379
547,1.3739454746246338
548,1.3898780345916748
549,1.4097034931182861
550,1.4316669702529907
551,1.4558433294296265
552,1.4828146696090698
553,1.509858250617981
554,1.5380449295043945
555,1.5685768127441406
556,1.592897653579712
557,1.6130479574203491
558,1.6269779205322266
559,1.637948989868164
560,1.64577054977417
561,1.6533712148666382
562,1.6583513021469116
563,1.6641696691513062
564,1.6669304370880127
565,1.6662812232971191
566,1.664138913154602
567,1.663175106048584
568,1.6599466800689697
569,1.657733678817749
570,1.6567507982254028
571,1.6632869243621826
572,1.6715431213378906
573,1.6878466606140137
574,1.7063660621643066
575,1.7257049083709717
576,1.7468384504318237
577,1.7705433368682861
578,1.7912684679031372
579,1.8145159482955933
580,1.8397040367126465
581,1.8586840629577637
582,1.8763811588287354
583,1.8923338651657104
584,1.9079513549804688
585,1.918092131614685
586,1.928486943244934
587,1.9422022104263306
588,1.955277442932129
589,1.9616422653198242
590,1.9664207696914673
591,1.969499111175537
592,1.9649697542190552
593,1.9581290483474731
594,1.9514659643173218
595,1.9437378644943237
596,1.931929111480713
597,1.9206037521362305
598,1.912895679473877
599,1.9068597555160522
600,1.901079535484314
601,1.9016932249069214
602,1.9078267812728882
603,1.913033127784729
604,1.9195671081542969
605,1.931668996810913
606,1.9480607509613037
607,1.9620018005371094
608,1.9780791997909546
609,1.9945894479751587
610,2.009310007095337
611,2.0234313011169434
612,2.0385630130767822
613,2.0533668994903564
614,2.0696372985839844
615,2.0864810943603516
616,2.099134922027588
617,2.1098713874816895
618,2.120758295059204
619,2.1275887489318848
620,2.1310455799102783
621,2.1271543502807617
622,2.1265387535095215
623,2.121993064880371
624,2.1157984733581543
625,2.109282970428467
626,2.1077516078948975
627,2.100409507751465
628,2.0948610305786133
629,2.092099189758301
630,2.0893421173095703
631,2.0891926288604736
632,2.0948426723480225
633,2.0999109745025635
634,2.108334541320801
635,2.119966983795166
636,2.1339006423950195
637,2.1474947929382324
638,2.158764123916626
639,2.1682651042938232
640,2.1802332401275635
641,2.19838285446167
642,2.2097973823547363
643,2.2275822162628174
644,2.2491486072540283
645,2.2699108123779297
646,2.2892515659332275
647,2.3147175312042236
648,2.3331828117370605
649,2.3532752990722656
650,2.3718833923339844
651,2.38655948638916
652,2.395328998565674
653,2.404137372970581
654,2.40714168548584
655,2.4030399322509766
656,2.39547061920166
657,2.3858370780944824
658,2.3705391883850098
659,2.3561410903930664
660,2.3496851921081543
661,2.340799570083618
662,2.3339121341705322
663,2.335455894470215
664,2.339385747909546
665,2.3400065898895264
666,2.3471078872680664
667,2.357104539871216
668,2.3689050674438477
669,2.3794219493865967
670,2.3910679817199707
671,2.4028749465942383
672,2.418272018432617
673,2.4354100227355957
674,2.4540936946868896
675,2.4769325256347656
676,2.497394323348999
677,2.5130484104156494
678,2.5256035327911377
679,2.5403013229370117
680,2.553276777267456
681,2.573359727859497
682,2.601478338241577
683,2.6300175189971924
684,2.655073404312134
685,2.6865756511688232
686,2.717761754989624
687,2.739755868911743
688,2.747572422027588
689,2.75205397605896
690,2.7495312690734863
691,2.7366371154785156
692,2.7137043476104736
693,2.688807249069214
694,2.655550718307495
695,2.61038875579834
696,2.5718722343444824
697,2.535320281982422
698,2.485901117324829
699,2.439899444580078
700,2.3969497680664062
701,2.352013111114502
702,2.3107447624206543
703,2.2706525325775146
704,2.2346596717834473
705,2.207428455352783
706,2.1828484535217285
707,2.163670539855957
708,2.1598780155181885
709,2.160970449447632
710,2.1643333435058594
711,2.175816059112549
712,2.1934781074523926
713,2.208660364151001
714,2.2272443771362305
715,2.2406883239746094
716,2.246699094772339
717,2.245467185974121
718,2.2378969192504883
719,2.2161552906036377
720,2.1790049076080322
721,2.142725944519043
722,2.1006875038146973
723,2.066215991973877
724,2.0340793132781982
725,2.002720832824707
726,1.9648528099060059
727,1.9364240169525146
728,1.9024980068206787
729,1.8663402795791626
730,1.8392632007598877
731,1.817243218421936
732,1.7989513874053955
733,1.7910085916519165
734,1.7829912900924683
735,1.7718687057495117
736,1.7510287761688232
737,1.7234002351760864
738,1.6777963638305664
739,1.6239057779312134
740,1.566547155380249
741,1.513518214225769
742,1.4572207927703857
743,1.4169597625732422
744,1.371072769165039
745,1.3125395774841309
746,1.2620385885238647
747,1.2159984111785889
748,1.1767395734786987
749,1.138713002204895
750,1.1064964532852173
751,1.0753018856048584
752,1.035496473312378
753,0.987348198890686
754,0.9515680074691772
755,0.9240226745605469
756,0.892720639705658
757,0.8677710890769958
758,0.8467692732810974
759,0.8138442039489746
760,0.7761440277099609
761,0.7422022819519043
762,0.715489387512207
763,0.7053036689758301
764,0.7075352668762207
765,0.719075083732605
766,0.7344783544540405
767,0.7574446797370911
768,0.7634875178337097
769,0.7511296272277832
770,0.7327847480773926
771,0.701274037361145
772,0.6543318033218384
773,0.6003991365432739
774,0.5613733530044556
775,0.5260350704193115
776,0.4878738224506378
777,0.45136401057243347
778,0.4201771318912506
779,0.38214659690856934
780,0.34240832924842834
