类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:49
照度(lx),168.99
烛光E(fc),15.71
相关色温(K),3028
黑体偏离duv,0.00622
坐标x,0.4442
坐标y,0.4227
坐标u,0.2473
坐标v,0.3530
坐标u’,0.2473
坐标v’,0.5295
SDCM,8.29
显色指数(Ra),93.9
R1,93
R2,96
R3,98
R4,91
R5,92
R6,95
R7,96
R8,91
R9,79
R10,91
R11,90
R12,87
R13,93
R14,99
R15,91
明暗视觉比S/P,1.431
主波长(nm),580.80
色纯度(%),60.2
半宽度(nm),210.9
峰值波长(nm),689.0
中心波长(nm),637.0
质心波长(nm),624.2
红色比(%),62.9
绿色比(%),29.9
蓝色比(%),7.1
视黑素照度(lx),93.0
生理等效照度(lx),84.9
视黑素比,0.550
视黑素EDI(lx),84.3
积分时间(ms),670
峰值信号,54847
暗信号,3524
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0.0000986594459391199
388,0.002333136275410652
389,0.003964255563914776
390,0.004970430862158537
391,0.0065481397323310375
392,0.006187702529132366
393,0.005161444190889597
394,0.005622274242341518
395,0.008499132469296455
396,0.013301432132720947
397,0.01970960572361946
398,0.02757580392062664
399,0.035881418734788895
400,0.04344062879681587
401,0.04967014864087105
402,0.05739220976829529
403,0.06971017271280289
404,0.08512352406978607
405,0.10146088153123856
406,0.12187783420085907
407,0.142033189535141
408,0.15788334608078003
409,0.17096291482448578
410,0.1831578016281128
411,0.1925802379846573
412,0.2020130306482315
413,0.21200232207775116
414,0.22032666206359863
415,0.22766457498073578
416,0.23609697818756104
417,0.24470844864845276
418,0.2525602877140045
419,0.26004812121391296
420,0.2715778350830078
421,0.28318169713020325
422,0.29296812415122986
423,0.3039718568325043
424,0.3152436912059784
425,0.3245007395744324
426,0.32753321528434753
427,0.33233389258384705
428,0.33591189980506897
429,0.3381843566894531
430,0.34438177943229675
431,0.35479968786239624
432,0.36688703298568726
433,0.38050299882888794
434,0.397864431142807
435,0.41508883237838745
436,0.4325079023838043
437,0.4468030035495758
438,0.46217504143714905
439,0.4732106029987335
440,0.47883424162864685
441,0.48574134707450867
442,0.48836076259613037
443,0.48906129598617554
444,0.491690993309021
445,0.497107595205307
446,0.5073555707931519
447,0.5206749439239502
448,0.538333535194397
449,0.5591461062431335
450,0.5829508900642395
451,0.6103598475456238
452,0.6443006992340088
453,0.6752482056617737
454,0.702991247177124
455,0.7306045293807983
456,0.7436086535453796
457,0.7475113868713379
458,0.752931535243988
459,0.7604663968086243
460,0.7650021314620972
461,0.7787211537361145
462,0.7992444634437561
463,0.8238693475723267
464,0.8491703867912292
465,0.8840095400810242
466,0.9241200685501099
467,0.9705697298049927
468,1.0198711156845093
469,1.0765124559402466
470,1.1301000118255615
471,1.1773325204849243
472,1.212306022644043
473,1.2384105920791626
474,1.249145746231079
475,1.2396422624588013
476,1.2188692092895508
477,1.1933808326721191
478,1.1601896286010742
479,1.1293402910232544
480,1.1106010675430298
481,1.106035590171814
482,1.1146471500396729
483,1.136845588684082
484,1.1667349338531494
485,1.2045047283172607
486,1.2411048412322998
487,1.2739516496658325
488,1.2977668046951294
489,1.3159955739974976
490,1.3281341791152954
491,1.3369884490966797
492,1.346641182899475
493,1.3623982667922974
494,1.3774324655532837
495,1.3893544673919678
496,1.3975430727005005
497,1.3948240280151367
498,1.3889763355255127
499,1.3836616277694702
500,1.3769696950912476
501,1.3794984817504883
502,1.3883379697799683
503,1.3985223770141602
504,1.414522647857666
505,1.438210368156433
506,1.4646694660186768
507,1.492451786994934
508,1.5257728099822998
509,1.5581016540527344
510,1.585685133934021
511,1.6042718887329102
512,1.6201350688934326
513,1.6308187246322632
514,1.6366313695907593
515,1.6370134353637695
516,1.6326963901519775
517,1.634329915046692
518,1.637821912765503
519,1.6436091661453247
520,1.647200584411621
521,1.657190203666687
522,1.667323350906372
523,1.6824853420257568
524,1.7010923624038696
525,1.729385256767273
526,1.7596373558044434
527,1.790507435798645
528,1.8223698139190674
529,1.8577505350112915
530,1.8893718719482422
531,1.9214204549789429
532,1.952845811843872
533,1.9782716035842896
534,1.9978954792022705
535,2.0107717514038086
536,2.0183966159820557
537,2.024301290512085
538,2.024904251098633
539,2.022843360900879
540,2.0260560512542725
541,2.024765968322754
542,2.024552822113037
543,2.0300252437591553
544,2.0365045070648193
545,2.049351930618286
546,2.0688068866729736
547,2.089107036590576
548,2.1083526611328125
549,2.135164737701416
550,2.1679513454437256
551,2.1996853351593018
552,2.236541509628296
553,2.276684045791626
554,2.3160011768341064
555,2.3519864082336426
556,2.3890678882598877
557,2.4192566871643066
558,2.4445745944976807
559,2.4635655879974365
560,2.478785276412964
561,2.487403154373169
562,2.4900200366973877
563,2.490171432495117
564,2.48809552192688
565,2.4851043224334717
566,2.481489896774292
567,2.4841747283935547
568,2.4860763549804688
569,2.4892942905426025
570,2.4910247325897217
571,2.4983344078063965
572,2.5067570209503174
573,2.526942014694214
574,2.5511341094970703
575,2.577523946762085
576,2.6048171520233154
577,2.63665509223938
578,2.6662747859954834
579,2.6973350048065186
580,2.72908616065979
581,2.7603557109832764
582,2.791206121444702
583,2.8158702850341797
584,2.8392174243927
585,2.861025333404541
586,2.8793017864227295
587,2.8917832374572754
588,2.9058687686920166
589,2.912389039993286
590,2.9094555377960205
591,2.9018869400024414
592,2.896698474884033
593,2.8898658752441406
594,2.8780832290649414
595,2.865112066268921
596,2.853921413421631
597,2.836970090866089
598,2.8223745822906494
599,2.815732955932617
600,2.8169941902160645
601,2.8147330284118652
602,2.8141472339630127
603,2.817185163497925
604,2.8219563961029053
605,2.8287012577056885
606,2.849264621734619
607,2.8773725032806396
608,2.90143084526062
609,2.9237911701202393
610,2.9469707012176514
611,2.9679646492004395
612,2.985477924346924
613,3.0057153701782227
614,3.033125400543213
615,3.053449869155884
616,3.062161684036255
617,3.068467855453491
618,3.075925588607788
619,3.076245069503784
620,3.078035593032837
621,3.0785112380981445
622,3.083705425262451
623,3.077653646469116
624,3.0687143802642822
625,3.0593912601470947
626,3.057535409927368
627,3.0435409545898438
628,3.034107208251953
629,3.0268685817718506
630,3.020106792449951
631,3.0225369930267334
632,3.031869888305664
633,3.041764974594116
634,3.0584192276000977
635,3.074349880218506
636,3.0826337337493896
637,3.096280097961426
638,3.113396406173706
639,3.1281726360321045
640,3.145461320877075
641,3.168935537338257
642,3.1870994567871094
643,3.208580255508423
644,3.2323079109191895
645,3.2605888843536377
646,3.29306960105896
647,3.330714702606201
648,3.362532377243042
649,3.3961145877838135
650,3.422405481338501
651,3.44126033782959
652,3.454183340072632
653,3.4593234062194824
654,3.4555912017822266
655,3.449198007583618
656,3.43565034866333
657,3.4179208278656006
658,3.3996338844299316
659,3.3778700828552246
660,3.3526694774627686
661,3.334895610809326
662,3.318446397781372
663,3.310152053833008
664,3.3068437576293945
665,3.312152862548828
666,3.3199734687805176
667,3.335085391998291
668,3.35300612449646
669,3.370126485824585
670,3.3887717723846436
671,3.4129815101623535
672,3.436246156692505
673,3.459730863571167
674,3.4867947101593018
675,3.5133109092712402
676,3.531869411468506
677,3.547929048538208
678,3.5677971839904785
679,3.5847132205963135
680,3.608186960220337
681,3.639112710952759
682,3.6764910221099854
683,3.7128381729125977
684,3.7539854049682617
685,3.8045907020568848
686,3.8436331748962402
687,3.8725767135620117
688,3.8803727626800537
689,3.8824286460876465
690,3.86991548538208
691,3.8590152263641357
692,3.8298940658569336
693,3.798898220062256
694,3.749006986618042
695,3.6791110038757324
696,3.613826036453247
697,3.561414957046509
698,3.492446184158325
699,3.4205002784729004
700,3.354862689971924
701,3.286994695663452
702,3.215536117553711
703,3.1494128704071045
704,3.0949058532714844
705,3.0546391010284424
706,3.0236871242523193
707,3.0010175704956055
708,2.997300624847412
709,3.0009989738464355
710,3.007251262664795
711,3.0251851081848145
712,3.056452512741089
713,3.084019184112549
714,3.108347177505493
715,3.1226534843444824
716,3.1303083896636963
717,3.1205267906188965
718,3.104170560836792
719,3.0756983757019043
720,3.027874708175659
721,2.9670872688293457
722,2.9021341800689697
723,2.8400626182556152
724,2.77664852142334
725,2.723098039627075
726,2.6753296852111816
727,2.6426303386688232
728,2.6085994243621826
729,2.5658626556396484
730,2.531106472015381
731,2.498810052871704
732,2.469787359237671
733,2.442657232284546
734,2.421677350997925
735,2.399556875228882
736,2.3656375408172607
737,2.316180467605591
738,2.2480971813201904
739,2.1740050315856934
740,2.0954952239990234
741,2.020082473754883
742,1.952994465827942
743,1.9014008045196533
744,1.8410508632659912
745,1.768897294998169
746,1.7023298740386963
747,1.6331543922424316
748,1.5630978345870972
749,1.5061073303222656
750,1.46296226978302
751,1.4210010766983032
752,1.3651258945465088
753,1.3070710897445679
754,1.256611943244934
755,1.2016518115997314
756,1.1424367427825928
757,1.1034533977508545
758,1.0716841220855713
759,1.030511498451233
760,0.984106183052063
761,0.9532334208488464
762,0.9245902895927429
763,0.9022467136383057
764,0.8910872936248779
765,0.8935673832893372
766,0.9022099375724792
767,0.9136351346969604
768,0.9179524779319763
769,0.9064069986343384
770,0.8845412135124207
771,0.8441200256347656
772,0.7898462414741516
773,0.7249312400817871
774,0.6710622310638428
775,0.6216634511947632
776,0.5706678032875061
777,0.5221997499465942
778,0.4821978807449341
779,0.4368598759174347
780,0.3931858241558075
