类型,HPCS-310-312255198
版本,2.00.08
描述
测试日期,2026/04/20 15:51
照度(lx),80.21
烛光E(fc),7.45
相关色温(K),17398
黑体偏离duv,0.01969
坐标x,0.2436
坐标y,0.2797
坐标u,0.1660
坐标v,0.2859
坐标u’,0.1660
坐标v’,0.4289
SDCM,49.37
显色指数(Ra),83.8
R1,79
R2,91
R3,87
R4,76
R5,83
R6,92
R7,88
R8,74
R9,9
R10,85
R11,74
R12,87
R13,82
R14,92
R15,73
明暗视觉比S/P,3.369
主波长(nm),483.60
色纯度(%),34.8
半宽度(nm),130.6
峰值波长(nm),472.9
中心波长(nm),473.9
质心波长(nm),516.5
红色比(%),15.5
绿色比(%),39.2
蓝色比(%),45.3
视黑素照度(lx),128.4
生理等效照度(lx),117.0
视黑素比,1.601
视黑素EDI(lx),116.5
积分时间(ms),800
峰值信号,56703
暗信号,3427
补偿电平,2660
起始扫描波长,380
终止扫描波长,780
380,0.0019848302472382784
381,0.0008776532486081123
382,0
383,0
384,0
385,0
386,0
387,0
388,0.002232880797237158
389,0.007274670526385307
390,0.010648668743669987
391,0.016129029914736748
392,0.02567216381430626
393,0.038687337189912796
394,0.05870290473103523
395,0.08807525783777237
396,0.12947647273540497
397,0.18181344866752625
398,0.24442677199840546
399,0.31408149003982544
400,0.3875301778316498
401,0.4593823552131653
402,0.5364111661911011
403,0.6224862933158875
404,0.7105631828308105
405,0.7999182343482971
406,0.8983202576637268
407,0.9947660565376282
408,1.079749584197998
409,1.1550617218017578
410,1.2173713445663452
411,1.2628674507141113
412,1.2913413047790527
413,1.312212586402893
414,1.3258343935012817
415,1.339314341545105
416,1.3608649969100952
417,1.3897371292114258
418,1.4292546510696411
419,1.4727368354797363
420,1.5203131437301636
421,1.5624921321868896
422,1.5991798639297485
423,1.6241906881332397
424,1.6336538791656494
425,1.6299084424972534
426,1.6199954748153687
427,1.607969045639038
428,1.597285509109497
429,1.599301815032959
430,1.6147388219833374
431,1.6350352764129639
432,1.661566972732544
433,1.6969201564788818
434,1.7345539331436157
435,1.7733230590820312
436,1.811842441558838
437,1.8376411199569702
438,1.852629542350769
439,1.8577399253845215
440,1.8445595502853394
441,1.8226245641708374
442,1.7973017692565918
443,1.7697525024414062
444,1.7402368783950806
445,1.7249137163162231
446,1.7266920804977417
447,1.7393240928649902
448,1.7653470039367676
449,1.8063772916793823
450,1.8568965196609497
451,1.9127000570297241
452,1.9732660055160522
453,2.0280020236968994
454,2.0760457515716553
455,2.1033737659454346
456,2.1048402786254883
457,2.0924642086029053
458,2.0664987564086914
459,2.037776470184326
460,2.012279987335205
461,1.9984174966812134
462,1.9981508255004883
463,2.016904592514038
464,2.044387102127075
465,2.0850377082824707
466,2.1392335891723633
467,2.205021381378174
468,2.2768781185150146
469,2.354705810546875
470,2.4256503582000732
471,2.47951340675354
472,2.508403778076172
473,2.512669563293457
474,2.4766783714294434
475,2.4103784561157227
476,2.332132577896118
477,2.2463366985321045
478,2.1513872146606445
479,2.0567617416381836
480,1.9800962209701538
481,1.9260610342025757
482,1.895687460899353
483,1.8891147375106812
484,1.9055331945419312
485,1.9315985441207886
486,1.9549362659454346
487,1.9723174571990967
488,1.97640061378479
489,1.966367244720459
490,1.9497416019439697
491,1.9284296035766602
492,1.9052304029464722
493,1.887608289718628
494,1.867020606994629
495,1.8440598249435425
496,1.8256901502609253
497,1.7944749593734741
498,1.7565205097198486
499,1.7171025276184082
500,1.676093578338623
501,1.6447393894195557
502,1.6225749254226685
503,1.6051090955734253
504,1.595442533493042
505,1.5960179567337036
506,1.5945409536361694
507,1.5929021835327148
508,1.5960338115692139
509,1.600351095199585
510,1.5977599620819092
511,1.5909168720245361
512,1.5828016996383667
513,1.5727674961090088
514,1.5529032945632935
515,1.52272629737854
516,1.4920846223831177
517,1.4682059288024902
518,1.4410923719406128
519,1.4177018404006958
520,1.3984333276748657
521,1.3811209201812744
522,1.3663982152938843
523,1.3578556776046753
524,1.3523752689361572
525,1.346364974975586
526,1.34664785861969
527,1.3506700992584229
528,1.355974555015564
529,1.361149787902832
530,1.36793053150177
531,1.370418667793274
532,1.3673895597457886
533,1.3618454933166504
534,1.356215476989746
535,1.3478449583053589
536,1.3343331813812256
537,1.3201326131820679
538,1.296226978302002
539,1.267411708831787
540,1.2458021640777588
541,1.2308980226516724
542,1.2108690738677979
543,1.1927229166030884
544,1.1771665811538696
545,1.1618422269821167
546,1.1463319063186646
547,1.1395184993743896
548,1.1357578039169312
549,1.1336227655410767
550,1.132300853729248
551,1.1332989931106567
552,1.1361654996871948
553,1.1393661499023438
554,1.1423447132110596
555,1.1441807746887207
556,1.144748330116272
557,1.1410855054855347
558,1.132556438446045
559,1.1240102052688599
560,1.1186020374298096
561,1.1067701578140259
562,1.088211178779602
563,1.0726643800735474
564,1.0570985078811646
565,1.0379579067230225
566,1.018646001815796
567,1.0066876411437988
568,0.9952321648597717
569,0.982951283454895
570,0.9700639843940735
571,0.9563027620315552
572,0.9402434229850769
573,0.9302535057067871
574,0.92323237657547
575,0.9190554618835449
576,0.9168384075164795
577,0.9160826802253723
578,0.9141855835914612
579,0.9129921793937683
580,0.9100944995880127
581,0.9058963060379028
582,0.9058808088302612
583,0.903447687625885
584,0.8984004855155945
585,0.8914172649383545
586,0.8852221369743347
587,0.8764636516571045
588,0.8679553270339966
589,0.8594735860824585
590,0.8497289419174194
591,0.838467001914978
592,0.8249716758728027
593,0.8119197487831116
594,0.7946004271507263
595,0.7772898077964783
596,0.7604643106460571
597,0.7423487305641174
598,0.7258838415145874
599,0.7133511900901794
600,0.7032589912414551
601,0.6936078667640686
602,0.6853188872337341
603,0.6753787994384766
604,0.6645852327346802
605,0.6553478837013245
606,0.6487285494804382
607,0.6448346972465515
608,0.6405988335609436
609,0.6360011100769043
610,0.6323081851005554
611,0.6287276148796082
612,0.6228739619255066
613,0.6181195974349976
614,0.6158978939056396
615,0.6118345856666565
616,0.6055117249488831
617,0.5993639230728149
618,0.5931686758995056
619,0.5854836702346802
620,0.5786473751068115
621,0.5694311857223511
622,0.56154465675354
623,0.5517193675041199
624,0.5394189357757568
625,0.526934802532196
626,0.5198081135749817
627,0.5091878175735474
628,0.4994737207889557
629,0.49542877078056335
630,0.49128609895706177
631,0.48457780480384827
632,0.47870245575904846
633,0.47522851824760437
634,0.47057002782821655
635,0.4662133753299713
636,0.46209824085235596
637,0.45956969261169434
638,0.4555400311946869
639,0.4519742727279663
640,0.4481208324432373
641,0.4439261257648468
642,0.4394422173500061
643,0.4364767074584961
644,0.4318225383758545
645,0.4282166063785553
646,0.4252980947494507
647,0.4224433898925781
648,0.4213135242462158
649,0.42283695936203003
650,0.42426496744155884
651,0.42593762278556824
652,0.4254710376262665
653,0.42173171043395996
654,0.4164676368236542
655,0.40780991315841675
656,0.3991082012653351
657,0.388421893119812
658,0.37670809030532837
659,0.3661428689956665
660,0.35939064621925354
661,0.3521738350391388
662,0.34852802753448486
663,0.3449019193649292
664,0.338875412940979
665,0.33332791924476624
666,0.3294978737831116
667,0.3261506259441376
668,0.32130396366119385
669,0.318628191947937
670,0.3178049623966217
671,0.3181058168411255
672,0.3164443373680115
673,0.3169022798538208
674,0.31806203722953796
675,0.3170793652534485
676,0.3130893111228943
677,0.3107493817806244
678,0.30872511863708496
679,0.30602335929870605
680,0.3033137917518616
681,0.3031286597251892
682,0.30317315459251404
683,0.30493348836898804
684,0.30500632524490356
685,0.30868980288505554
686,0.3107834756374359
687,0.3075338900089264
688,0.30075299739837646
689,0.29585862159729004
690,0.2898068130016327
691,0.28450530767440796
692,0.2800653278827667
693,0.27566975355148315
694,0.26756539940834045
695,0.2572532892227173
696,0.2477603554725647
697,0.2439846694469452
698,0.23701654374599457
699,0.23136012256145477
700,0.2257782518863678
701,0.2155458629131317
702,0.2027277946472168
703,0.19133302569389343
704,0.1791476160287857
705,0.17147056758403778
706,0.16794560849666595
707,0.16743989288806915
708,0.16894349455833435
709,0.1690034419298172
710,0.16562163829803467
711,0.16346053779125214
712,0.16233684122562408
713,0.16105599701404572
714,0.1648607850074768
715,0.1677752137184143
716,0.16781207919120789
717,0.1681719571352005
718,0.1649366021156311
719,0.15826614201068878
720,0.153264120221138
721,0.14962255954742432
722,0.13960979878902435
723,0.13105791807174683
724,0.1253536194562912
725,0.12180175632238388
726,0.11841101199388504
727,0.12000910192728043
728,0.11789727956056595
729,0.11326450109481812
730,0.10821685194969177
731,0.10356579720973969
732,0.10050696134567261
733,0.10314854979515076
734,0.10910529643297195
735,0.11348619312047958
736,0.11260171234607697
737,0.10964624583721161
738,0.1103643923997879
739,0.11421018093824387
740,0.11364864557981491
741,0.11506377160549164
742,0.12056457251310349
743,0.12610749900341034
744,0.12099581956863403
745,0.11546684801578522
746,0.11385811120271683
747,0.11027771234512329
748,0.1045026108622551
749,0.10424995422363281
750,0.1045779138803482
751,0.10593200474977493
752,0.10455594211816788
753,0.10093279927968979
754,0.09889134764671326
755,0.09754641354084015
756,0.09588796645402908
757,0.09919021278619766
758,0.10146427154541016
759,0.09929796308279037
760,0.09735850989818573
761,0.10042555630207062
762,0.10193920880556107
763,0.10686451196670532
764,0.11455876380205154
765,0.12495868653059006
766,0.13057713210582733
767,0.1454438418149948
768,0.1567259281873703
769,0.16340573132038116
770,0.16727560758590698
771,0.1713505983352661
772,0.16296833753585815
773,0.15188346803188324
774,0.1436099410057068
775,0.1392863541841507
776,0.13056150078773499
777,0.12296183407306671
778,0.11446455121040344
779,0.09927605092525482
780,0.08067036420106888
