local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
57,0,0,0,0,4.0696873358112686,0.10605204585603188,0.18014355181449443,0.37138519678143872,0.7441391715205159,1.3477255907858534,2.916992517253818,3.5794184129618261,2.4302128601446809,1.9791684541662706,1.4496710981710903,1.2043575698179112,0.7986200746732125,0.64400819886025018,0.48598672278374044,0.37990663845427475,0.25650783091777007,0.21207650300602718,0.19377668227797532,0.12137496534095538,0.10163127560932637,0.093780542551171242,0.071398268745612267,0.061589964123545872,0.057395808606209825,0.048170820574446542,0.043742461517264561,0.024288842814065025,0.03746421746106169,0.04033704789877187,0.020395127313114783,0.01939327685378207,0.0131924412073615,0.013456266694777634,0.014834716318127349,0.0044936503607384045,0.0050750787852764188,0.003700992381399767,0.011556929124750778,0.0089401594637617109,0.0038361330585384825,0.0095094654571536239,0.025346081852584496,0.0084186134741684633,0.034054040416627546,0,0,0.0090333673528137353,0,0,0.0067843404398225957,0,0.010279206346329646,0,0,0.012857565180381931
58,0,0,0,0,0,0.17759835507175489,0.11057178241338105,0.64518858588673533,0.42149950053554752,0.89934726816573962,1.6564692023224614,2.6654567861721241,4.8334301654734872,5.5902629110138511,4.0971880534178098,3.348988115671494,2.6559365719323269,2.1300912585182132,1.7031929310706517,1.4948482656417372,1.0226003464361915,0.84687662711574807,0.56956835462595601,0.51143697561591717,0.33132257679853733,0.30010747463201187,0.20899747732580573,0.18584564172424925,0.19261610285767036,0.17502144372520229,0.10562193855874089,0.090612675385222136,0.080007649093602085,0.080194059227767386,0.035122745765201309,0.051250140379014729,0.055485379180685017,0.028711818535974137,0.028661192488865384,0.035884361318338019,0.037961714456242426,0.024922395534756454,0.017687214619844533,0.035864037648098479,0.012564363018707997,0.054686802705066977,0,0.052576402678606367,0,0,0,0,0.054700180415690108,0.023542535306462945,0,0,0.020617856140690272,0,0,0
59,0,0,0,0,0,0.20497290787351249,0.039611146157638971,0.086214440409048035,0.17688809513566223,0.27715650100416472,0.41155918816743531,0.9898209618852436,1.495773178648689,2.6294707488591418,4.1429190036998085,4.5614213144985616,3.4615771836626923,3.2003793318931577,2.6695070422415048,2.4056713469854878,1.7449856499003202,1.4394443402866639,1.0099208058626359,0.84252552672182246,0.59511708383629036,0.53559178502188065,0.3470736575782199,0.34228037790340504,0.29732210435116918,0.23897094879976294,0.18400816031289871,0.1441374340778537,0.13808537723133216,0.16185452530468197,0.10911922956133394,0.086037532743886966,0.054621890589182528,0.055850292701154269,0.068626657467846047,0.059433900637510993,0.067959034620078435,0.05096173290661319,0.036443131807204571,0.019363122218598101,0.042768199496149066,0.011832171883447474,0.020829665616334252,0,0,0,0,0,0,0.025421398056048081,0.0024940353215840887,0,0.044358295075546166,0.022130546480623771,0.033022411219957026,0
60,0,0,0,0,0,0,0,0.092473325368402609,0.085377928904443817,0.15156728236088662,0.22983060719947018,0.32011688142438677,0.44471748159060143,0.79513216185317714,1.2171810161516439,2.1873691552772967,3.0925027821447775,3.283382892766578,2.7697543380687821,2.5061684332330487,2.1189209186526576,2.2284049708751508,1.4411535053503772,1.1516297623987053,0.96088395359749679,0.81406967659824836,0.51327221020354552,0.45566066938412408,0.38979998259936915,0.31110126260940579,0.24232767885276127,0.24468898731491903,0.16987078861008531,0.16778406392995945,0.1067735198772604,0.11113163815638545,0.088031757192390869,0.086451182742174337,0.11117774197898964,0.058808493263664496,0.036934828395729265,0.062716542705993791,0.041703324724358178,0.032531835425142319,0.045294726557198399,0.031018840170385725,0.10637002209258553,0.017815821049432211,0.11561069197379838,0.028078590958560783,0.018666416615232401,0.019116788854284462,0.024056237573642683,0.014269633687470815,0.014357304274056154,0.040069565574586984,0,0,0.023932327406734313,0
61,0,0,0,0,0,0,0,0.023876805631872052,0.022097669734157232,0.046200599870058277,0.06310516228881051,0.11205211693892694,0.20942102534383741,0.3137560082305198,0.40758821395360367,0.71546685746981853,1.0629970437153444,1.8612515597745458,2.2985670541835312,2.4297012230576653,1.8685651408858726,1.8026500772684368,1.4983400174551635,1.542287473499468,1.0382776058349001,1.0224646601163174,0.80369453745988961,0.63713314860366954,0.48385512559699673,0.50431255406168396,0.28438752377705606,0.25146731255745192,0.22169823274520864,0.18255421183564269,0.1251557312865039,0.10642882147377392,0.085330495997592196,0.079621022388608048,0.081921564641120312,0.06230867721945086,0.083024348854779356,0.015957936091942192,0.035289539891196452,0.040311268657905491,0.034347654607732231,0.0258421472533026,0.037607593427734301,0.059840460361524843,0.066821886743166525,0.0442192196825196,0.048956714177101776,0.021660655075669701,0,0.036132752267431623,0.023089937648078578,0.015301776534152095,0.043686834365390226,0.034775801180542701,0.071339469604285458,0
62,0,0,0,0,0,0,0.036537430003726341,0,0.026422071054440683,0.025842795822005306,0.038923860819617892,0.077649787659743133,0.10807501340522167,0.18352564642401017,0.1739205547968749,0.28351119896707305,0.39854494959413161,0.61025230483955539,0.8254030848610453,1.3473809402775669,1.5648525292871602,1.462705108990016,1.2131207549089609,1.2394734424392722,1.0703081822890659,1.0564104987897238,0.91542807407290983,0.81220909316529988,0.64601477333729473,0.56624722338114797,0.39801730916131883,0.28335733903837934,0.27713902829212778,0.21677007938474582,0.16256186248909307,0.18614137700128694,0.093669133056015347,0.11954601629528851,0.088433111749608828,0.082016641376809973,0.048957307367963505,0.026735841459419336,0.055135990806445802,0.045027001968037578,0.048238199060945737,0.044948957932556141,0.017279350023771706,0.051304282393995822,0.042372584923492336,0.016795465746887107,0,0.019904599400431929,0,0.021088443914319032,0.042436016589562524,0.038537525922774943,0.018468635480269759,0,0.034633992181792438,0.023101169144743576
63,0,0,0,0,0,0,0,0.026274017327659327,0.023378438384540106,1.1473563189222566e-06,0.025555876092188751,0.037889388201998143,0.038536249090845326,0.082289087953495668,0.067202114429227341,0.098933111347975278,0.15795283025635376,0.23610401167673811,0.33554001229548513,0.4567406609294809,0.68140024187436954,1.0176565863444726,1.0898867162693777,1.0885324029515493,0.78778535783204084,0.88625452839262786,0.66589229901604552,0.79498385186601939,0.71377038779746349,0.68553516999576403,0.46806977263006661,0.42036900485502565,0.31156158657345812,0.25619551588810552,0.19647540932034194,0.15661366599267371,0.12868226387621179,0.15019154958633213,0.14157797746214371,0.091642348149453212,0.065845209781507735,0.053381980790386717,0.0219156153667356,0.046126356360659523,0.030569869171316186,0.054015743547923344,0.019424496277457379,0.019536483625146799,0.0550803099740826,0.10925695364375797,0.020618541420744738,0.054085357056631575,0.014212793894308951,0.031523890129386563,0,0.012888949701120336,0.045646192123940978,0.029292255786887503,0.013121862899162343,0.021175212576718803
64,0,0,0,0,0,0,0,0.0050452770682812642,0,0,0.023323532310536289,0.014234571883329598,0.025843725728793704,0.041191930111090957,0.059930264689862719,0.050649675652920549,0.063206217916961585,0.087080331848123527,0.12116550115208367,0.21090841762908322,0.29729155939341878,0.41902608438013389,0.48338750965631139,0.72854180586456885,0.77668577264255667,0.68423059670786024,0.54696720813538835,0.51877228689022692,0.50060227563621507,0.54514130690132712,0.41661603924945706,0.40439755503394742,0.36520514084834937,0.28543659964007612,0.26420595609988118,0.19091601839438321,0.19129852396556785,0.11793953075844042,0.086746906554102873,0.086252601505830445,0.053178349492504946,0.042401325206688822,0.054865799158916505,0.063138067502102935,0.052081223837506421,0.094146728876189786,0.04482041832896605,0.082011768437065452,0.031774439876314148,0.063911044312582849,0,0.048453038095963352,0,0.014867681175878411,0.025423821318963768,0,0.027796096780343123,0.018686301398015609,0,0.044469517824018076
65,0,0,0,0,0.76465223613834488,0,0,0,0.011629423263670009,0.0028860782985863412,0.01147485387287807,0.0015772947669608769,0.006763221583209203,0.01868321971671888,0.012798535823856823,0.012579390552961523,0.019591297735629457,0.025086855629045057,0.038929770996307088,0.047886951183214996,0.057846206041689663,0.073869478542382849,0.10332343182708144,0.18436011250935946,0.18957482912474505,0.23560335030939084,0.2548238682291562,0.23863911916721742,0.2187741284515414,0.21764346286252645,0.16291976088341945,0.18603464999337332,0.15345093735135765,0.17061626194086169,0.13865416865972566,0.13441328447969139,0.096521582829442884,0.11168006624833202,0.074330910975196049,0.064210279362995948,0.043941697034563104,0.045930518122077962,0.03223160758586719,0.020617873821850586,0.041184649271557662,0.013371496052572575,0.016584585297766331,0.038707522994583764,0.042018028156394188,0.015253560153418994,0.026919807426180966,0.016408741775723906,0.0070410075684986103,0.013309839785380313,0.013391613535631869,0.0063851761357015474,0,0.011832584823848318,0,0.0073907739514131555
66,0,0,0,0,0,0,0,0,0.0061081407581150774,0,0,0.007399562612488717,0.011580946410768889,0.010339805393468019,0.0088853945033636958,0.011536211025541516,0.019427369147335546,0.043169510297867565,0.025528156041639556,0.037992789992226869,0.038478884610500377,0.068897496211056924,0.087004287793628982,0.10076646125258391,0.12947642654601657,0.2125567990961843,0.2078619546870378,0.28883633577642359,0.35470583718204274,0.31955540984685671,0.20728706874709912,0.23789764777690728,0.21274335289442173,0.22005142392495666,0.1558996777667247,0.17229975981645004,0.1974033599105198,0.14405552957007378,0.12923821471889685,0.12556740563849672,0.085109798760610769,0.079689184553934408,0.10701496148916538,0.072000911661735278,0.11317137792853252,0.0069315272871642679,0.10813637696446256,0.035137507398207563,0.051903902655080159,0.08301061135953508,0.03357465249950916,0.011461573939966,0.038881233799512319,0.023447808661927149,0,0.031378884263322832,0.037023492224854612,0.06353582673529469,0.056403979784804999,0.0641281658910101
