channel,released_channel_ordinal,channel_reco_bin,local_numi_reco_bin,published_global_bin,observed_counts,published_background_counts,published_signal_counts,published_total_prediction_counts,empirical_reference_total_counts,empirical_reference_closure_residual_counts
nue_cc_fc,8,0,0,182,0,4.4927899999999998e-08,0.01171,0.011710044927899999,0.011710044927900001,1.7347234759768071e-18
nue_cc_fc,8,1,1,183,10,1.1228800000000001,2.8332299999999995,3.9561099999999998,3.9561099999999998,0
nue_cc_fc,8,2,2,184,34,3.0026600000000001,16.224900000000002,19.22756,19.227559999999997,-3.5527136788005009e-15
nue_cc_fc,8,3,3,185,58,3.3617300000000001,36.433599999999998,39.79533,39.795329999999986,-1.4210854715202004e-14
nue_cc_fc,8,4,4,186,77,1.65401,59.808500000000002,61.462510000000002,61.462510000000037,3.5527136788005009e-14
nue_cc_fc,8,5,5,187,123,2.4890599999999998,87.002399999999994,89.491459999999989,89.491459999999989,0
nue_cc_fc,8,6,6,188,128,1.7746500000000001,93.7393,95.513949999999994,95.513949999999952,-4.2632564145606011e-14
nue_cc_fc,8,7,7,189,132,2.8705099999999999,96.489800000000002,99.360309999999998,99.36030999999997,-2.8421709430404007e-14
nue_cc_fc,8,8,8,190,139,2.1017999999999999,97.005899999999997,99.107699999999994,99.107699999999994,0
nue_cc_fc,8,9,9,191,115,2.7192099999999999,87.899100000000004,90.618310000000008,90.618309999999965,-4.2632564145606011e-14
nue_cc_fc,8,10,10,192,85,3.0852200000000001,82.281199999999998,85.366420000000005,85.366420000000005,0
nue_cc_fc,8,11,11,193,87,3.08142,72.952799999999996,76.034219999999991,76.034219999999976,-1.4210854715202004e-14
nue_cc_fc,8,12,12,194,71,3.4838900000000002,64.461399999999998,67.94529,67.94529,0
nue_cc_fc,8,13,13,195,60,3.2820800000000001,48.956800000000001,52.238880000000002,52.238880000000002,0
nue_cc_fc,8,14,14,196,69,2.8612700000000002,42.8065,45.667769999999997,45.667770000000012,1.4210854715202004e-14
nue_cc_fc,8,15,15,197,51,3.0624600000000002,39.101199999999999,42.16366,42.16366,0
nue_cc_fc,8,16,16,198,35,3.7870699999999999,30.3917,34.17877,34.178769999999986,-1.4210854715202004e-14
nue_cc_fc,8,17,17,199,43,2.8769999999999998,31.901900000000001,34.7789,34.7789,0
nue_cc_fc,8,18,18,200,31,4.3566599999999998,25.234100000000005,29.590760000000003,29.590760000000003,0
nue_cc_fc,8,19,19,201,29,2.4321100000000002,20.074300000000001,22.506410000000002,22.506409999999995,-7.1054273576010019e-15
nue_cc_fc,8,20,20,202,31,2.90828,16.859500000000001,19.767780000000002,19.767780000000005,3.5527136788005009e-15
nue_cc_fc,8,21,21,203,29,2.6688399999999999,14.676100000000002,17.344940000000001,17.344940000000001,0
nue_cc_fc,8,22,22,204,19,3.34998,16.230399999999999,19.580379999999998,19.580379999999995,-3.5527136788005009e-15
nue_cc_fc,8,23,23,205,23,2.9760599999999999,12.932700000000001,15.908760000000001,15.908760000000001,0
nue_cc_fc,8,24,24,206,11,2.6515200000000001,11.456200000000001,14.10772,14.107720000000002,1.7763568394002505e-15
nue_cc_fc,8,25,25,207,114,18.537700000000001,70.154399999999995,88.692099999999996,88.692099999999982,-1.4210854715202004e-14
nue_cc_pc,9,0,26,208,0,1.5189499999999998e-08,0.085348499999999994,0.085348515189499999,0.085348515189499999,0
nue_cc_pc,9,1,27,209,4,0.30858200000000002,2.27705,2.5856319999999999,2.5856319999999999,0
nue_cc_pc,9,2,28,210,21,0.94792600000000005,9.5385100000000005,10.486436000000001,10.486435999999999,-1.7763568394002505e-15
nue_cc_pc,9,3,29,211,36,1.4244600000000001,16.359500000000001,17.78396,17.783959999999993,-7.1054273576010019e-15
nue_cc_pc,9,4,30,212,44,1.99756,30.061199999999999,32.058759999999999,32.058760000000007,7.1054273576010019e-15
nue_cc_pc,9,5,31,213,46,3.20268,35.136800000000001,38.339480000000002,38.339479999999988,-1.4210854715202004e-14
nue_cc_pc,9,6,32,214,69,2.7796599999999998,41.017600000000002,43.797260000000001,43.797260000000001,0
nue_cc_pc,9,7,33,215,69,4.0394199999999998,45.0578,49.09722,49.097219999999993,-7.1054273576010019e-15
nue_cc_pc,9,8,34,216,64,4.6090200000000001,46.0276,50.636620000000001,50.636619999999994,-7.1054273576010019e-15
nue_cc_pc,9,9,35,217,60,4.2532199999999998,42.6815,46.934719999999999,46.934720000000006,7.1054273576010019e-15
nue_cc_pc,9,10,36,218,51,4.6351899999999997,37.1374,41.772590000000001,41.772590000000001,0
nue_cc_pc,9,11,37,219,50,5.5900699999999999,36.213500000000003,41.803570000000001,41.803570000000008,7.1054273576010019e-15
nue_cc_pc,9,12,38,220,35,5.9050000000000002,28.537700000000001,34.442700000000002,34.442700000000002,0
nue_cc_pc,9,13,39,221,33,5.2725600000000004,25.622100000000003,30.894660000000002,30.894660000000009,7.1054273576010019e-15
