local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
54,0,0,0,0,44.906349467383535,136.94977180567048,36.787611977348391,17.478345433778653,6.3218438511405166,2.7886760311406094,1.0580326013910504,0.76458541912056932,0.40093552155825624,0.22286838943923809,0.15077387434556869,0.071112845238276143,0.095535190260689032,0.061483475234010439,0.029043447786385453,0.018643121981934206,0.028561629071734245,0.029070884449387109,0.02869414672930283,0.027081589167271772,0.056357029014454704,0.030174076236552969,0.035849135581093101,0.021705669528025318,0.046855368640783039,0.061933989134520258,0.04320284390740977,0.031456096738991246,0.016009345914547213,0.05697240117384459,0.030785242141839919,0.029587656628340276,0.010559795958025165,0.038362116547481333,0.029939610103685243,0.041823993902505685,0.0090201488805936193,0,0.015739663201639682,0.027659093291104997,0.028713571435475056,0.040891015871265056,0.041354614005756407,0,0,0,0,0,0,0,4.8107006011174287e-08,0,0,0,0,0
55,0,0,0,0,0,61.64087638222837,99.019971648699411,146.38712465100278,84.360084445098792,54.165375386268785,24.626800642433853,17.69222648519229,11.097140936909563,5.8683385032854023,3.6735153424299822,2.7985155722709281,1.7688094739762352,1.4311310457140296,0.89446535935282634,0.80986662371872919,0.49246306039468168,0.43174613564003222,0.36464331260505078,0.52713288185528173,0.19781802667385831,0.56056602329080663,0.35321065398882884,0.32716963823466227,0.36316974121571838,0.31901267343323664,0.18458470539573868,0.24241737155322099,0.22851734028927995,0.2439316910967588,0.2609462940287896,0.24848886328159664,0.20438184573456414,0.36531708910379312,0.078866143308826755,0.1127167216430475,0.091210552293430919,0.19717549000996407,0.2149263023036331,0.094262704684700133,0.12001007745861261,0.13935734309012915,0.14123077083260394,0,0.48421501102637654,0,0,0.15872245553085004,0,0,0,0,0,0,0,0
56,0,0,0,0,0,65.506218647802527,37.691468527385837,70.986087634427975,98.250719647661242,141.00690310263718,76.763812335835269,52.775807608839372,33.154719102963078,26.972800804784267,16.131867884551323,12.810866156736227,8.4727328186564641,5.7586911025261536,4.0002629822877998,3.017712727854581,2.2928764648789413,2.0719392008233721,1.6775979070568199,1.1565955237743635,1.1514220133276278,1.0628236232201245,1.0739129073947995,0.8499305118675704,0.83087984326850195,0.73146443274611261,0.50943895505717918,0.55757969603153035,0.36970435388117273,0.63920371514308227,0.3961601122656917,0.57346778064857229,0.49148821944818871,1.010099216493368,0.24728523999334379,0.15484348829407349,0.38887419036407089,0.24641953023364438,0,0.14778062278955711,0.52970690565149914,1.2979296450692392,0.38182894941756584,0,0.36603023322143419,0.26338844521976296,0,0.24883758011713397,0,0,0.49963429447843311,0,0.40190100683264779,0,0,0
57,0,0,0,0,309.26693777586246,8.0591919625250892,6.5444119509036849,13.49200510217544,18.747133522867106,33.953314876598682,56.856020473257182,69.767572376670259,40.13841322593462,32.688774946376739,22.449473719582436,18.650570909993018,11.952726373760742,9.6386930751582582,6.7610312081454547,5.2852485846901809,3.5136679067720928,2.9050434824019642,2.8968956735334062,1.8145145630426809,1.6896715580025443,1.559149134877337,1.4347969843323667,1.2376924026611351,1.0647785812703612,0.89364117756046313,0.99142035646862037,0.55050521542840947,0.85015625204527667,0.91534791820575989,0.52895223270578995,0.50296901479468648,0.34204006982232588,0.3488802661679703,0.35993161838817483,0.10902849856554264,0.11523656769386931,0.084036066657916852,0.26241579722492053,0.20299848235432863,0.087104619570725017,0.21592534938866167,0.57551726795914593,0.19115607117647831,0.77324331301129201,0,0,0.20053196183349145,0,0,0.15060575364735418,0,0.22818837474584694,0,0,0.28542543099621276
58,0,0,0,0,0,13.496196364707437,4.0169480781861067,23.438973249577423,10.6188569541576,22.657298479904114,32.28676327535841,51.953258264734146,79.830956564406605,92.331123106035889,63.448678562628551,51.86212292209747,39.750670083470212,31.880488321841895,23.694763705685897,20.796279613472663,14.007673784738056,11.600594083406042,8.5148537115036049,7.6458093127088143,5.508406060872356,4.989439138586854,4.1999470781084804,3.7346951261147092,3.5733184305800774,3.2469110387522004,2.3939151191910799,2.0537310387879191,1.8155725035246166,1.8198026129929366,0.91091634320490811,1.3291839645704511,1.4385679398358593,0.74441055013309931,0.69540051701875483,0.87065475113620883,0.86197236787799969,0.56589689375195062,0.40161226871371541,0.81434176237827172,0.28529095424807921,1.2417382485108526,0,1.1938187450312381,0,0,0,0,1.2142907581398839,0.52262136666773928,0,0,0.45769633617362887,0,0,0
59,0,0,0,0,0,15.576465294334085,1.4390282399338545,3.1320733296880068,4.4563501896263942,6.9824169052125704,8.0218298435795141,19.292912320113999,24.704816158900783,43.429439953228034,64.156863866055275,70.637752282547879,51.808470898886249,47.899194697817961,37.138093649094088,33.467620185887029,23.902974244081218,19.717641227379755,15.097973495686013,12.595470850825446,9.8941236761109721,8.9044853606879073,6.9746822434687878,6.8783580139977669,5.5157722513051972,4.4332705472210012,4.1705342946589017,3.2668665940881492,3.1335005700108582,3.6728816437340943,2.8300318611145889,2.2314028416048255,1.4161802942526076,1.4480290429068183,1.6650742324468564,1.4420322967309516,1.5431023289976638,1.1571554713450538,0.82749088303045859,0.43966603056126013,0.97111014920223671,0.26866555848711376,0.47296589341649548,0,0,0,0,0,0,0.56433029075713959,0.0553651563570585,0,0.98471097074530678,0.49127658921392503,0.73306538390112408,0
60,0,0,0,0,0,0,0,3.3594515573001242,2.1509302215698978,3.8184417496953431,4.4797007983470181,6.2394990238901862,7.3451401470313309,13.13273573895642,18.849153624256132,33.873398199339348,46.284636133389945,49.141486098486482,38.532730711888938,34.865732324744371,29.025174016011317,30.524896653020619,21.544756084522596,17.216474330071147,15.975183595803813,13.534321699039696,10.314555692737484,9.1568124241301927,7.2313759929581716,5.7713963628490772,5.4923428041559816,5.5458617236699386,3.8547905912308096,3.8074376194264468,2.7691953507255396,2.8822241324903275,2.2823970107871729,2.2414174993522629,2.6974822936345917,1.4268581684636383,0.83865552295146906,1.4240644184740592,0.94693071890827119,0.73867957795083627,1.0284783830798405,0.70432496249125287,2.4152760518776812,0.40453245264702548,2.6250980320590358,0.6375626043741156,0.41437627830865192,0.42437410360735639,0.53402505694319102,0.31677197729620604,0.31871817897675375,0.88950535062485059,0,0,0.53127437185636006,0
61,0,0,0,0,0,0,0,0.86741740435726855,0.55670764408757312,1.1639339088019776,1.2300026063963436,2.1840431256056902,3.4588853475779224,5.1821256141845087,6.3118737133594074,11.07965416035721,15.909583546150087,27.856838704967185,31.977588808049141,33.801923026757343,25.595777500253018,24.692866884320711,22.399675043570387,23.056674605029055,17.261892359139264,16.998994107899801,16.150790753490242,12.803625862299493,8.9762403681480958,9.3557564371091466,6.4456267530119735,5.6994920726515534,5.0308841718533728,4.1426090025922919,3.2459421548867851,2.7602555197877328,2.2123614841431949,2.0643321148119185,1.9876457837039436,1.51178239949346,1.885180782769287,0.36234664731680166,0.80129700929083547,0.91532219223853206,0.77991022263785315,0.58678110770411351,0.85393156819782767,1.3587590563695209,1.5172818395353389,1.0040575364264435,1.0867913985362037,0.48084545743284179,0,0.80211192743918125,0.51257413922615946,0.33968454376821294,0.96980519660342612,0.77198893421438286,1.5836667808546585,0
62,0,0,0,0,0,0,1.3273636006573628,0,0.6656524921220669,0.65105878365384318,0.75867723848049973,1.5134964833858284,1.7850121767518559,3.0311864259022707,2.6933177664461097,4.3904284347313745,5.964912329673381,9.1334779202598178,11.482980407529288,18.744719062069358,21.435494157486641,20.036269380708994,18.135743811157113,18.52970755124749,17.794416955495535,17.563360911082327,18.396152499618065,16.32189656689,11.984545745372715,10.504737711715546,9.0210392566420055,6.4222776755842137,6.2889736809046468,4.9190521178463742,4.2160786150682386,4.8276186489136412,2.4285571038056548,3.0994663624352303,2.1456340888867804,1.989952610650545,1.1116422627733875,0.60707365038927708,1.2519376754048732,1.0223993320842877,1.0953139304248753,1.0206272360916204,0.39235114822202255,1.1649335234426468,0.96212718215650328,0.38136389746426425,0,0.44186273084920741,0,0.46814292666142032,0.94203825957027154,0.85549556169615482,0.40998572963962659,0,0.7688409124840172,0.51282346751898666
63,0,0,0,0,0,0,0,0.95450540008476281,0.58897410958161278,2.890540228542158e-05,0.49811763510364748,0.73851400666604716,0.63648082666051331,1.3591210343879296,1.0406857829218166,1.5320690920891711,2.3640364422191751,3.53370361804896,4.66802154947099,6.3541609632560885,9.333883308647362,13.939953703402134,16.293436732873353,16.273190208137223,13.097331554279004,14.734431510358439,13.381560635909446,15.975743576000797,13.241514307885389,12.717708547798919,10.608774283311215,9.5276391447984299,7.070107122826446,5.8137133066936233,5.095634110847187,4.0618107956498912,3.3363416087504687,3.8940122832282618,3.4350768469906696,2.2234991202372441,1.4951050605001526,1.2121104919259258,0.49762385976912016,1.0473616690735117,0.69413046520049937,1.2265009374738061,0.44105961205774907,0.44360243712882147,1.2506733663607479,2.4808277599791211,0.45771154872376218,1.2006422780595667,0.31551018921787577,0.69979967440383928,0,0.28612213680580389,1.0133010315351771,0.65025956435208365,0.29129258307639955,0.47006910650301331
