local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
90,0,0,0,0,0,0,0.03135843279677878,0,0,4.333291756711013,2.8055140732140678,3.4370320614296501,2.4225196331241001,2.1770034291172382,2.1577522767439485,2.9778720880544207,3.6177043000337381,3.3888220792119288,3.2842230701922608,5.0365070345908123,7.3900520941528756,7.627395182043311,10.237080275206891,13.147997941855772,16.046020079258394,20.669436215652524,19.964030430333167,23.318448762797551,22.058117605255443,23.806721870956736,24.636066247183507,25.412319344193438,21.700528050477239,22.097997256800113,15.907540481290603,17.591399337812618,14.178719663372512,15.351212105130994,12.41737980764009,14.746905458418793,8.5232498642827164,7.6951938598987022,10.275338775001066,9.0515453554821406,8.5610068504383126,8.2898028486820241,9.8698328884484194,10.253243516939042,7.9854605209453293,6.6992008790202737,2.2411174444472342,1.771557741078978,3.1151677844587442,2.8063638995724793,3.5226477196632189,2.2188888863557947,3.2984290210925287,3.396562580720794,4.1704242738389645,1.4411851588415678
91,0,0,0,0,0,0,0,0,0,1.2405062816950521,0.79806866988978553,1.2356772318854827,1.2221879040576573,1.4991747352873139,1.8143225014182105,2.3438860920589155,1.7247043057466485,2.5986823331651951,1.9332255748921741,2.9200212380311665,2.401769063993183,5.093748449673468,4.2419585473667505,6.6558565603920439,9.1030731381229923,10.583709793592364,14.070576133533621,15.282816130131877,15.772223746484221,15.993223364285832,15.432939013130175,18.090459369951873,15.659549349955785,17.357364411750645,16.13845981191719,20.133644666324408,11.847085392844949,14.397604321127774,14.624723767834441,11.167102935909677,6.5476056557379971,7.3113535030806442,8.4520173429078476,7.4185034762071052,8.0292116780628486,7.5650200133637338,6.1293770624563182,4.5621299632367842,9.2318918637098335,7.9708255703182127,3.5173046538748336,3.4146371503377946,2.933355850670587,3.5731372030363406,4.0597799166574351,2.8844476058688047,2.8932877612911909,3.3206774900896088,3.56962945244892,2.9453211578322613
92,0,0,0,0,0,0,0,0,0,1.4192418328907572,0,1.9189472190701771,0,1.2317857107406975,0.7566393750255106,1.0812585272828998,1.8279432391460133,2.786024115856685,1.8455182167588529,2.0385136175437135,1.5142906601301793,2.0343570811105955,2.9091164089078831,3.8606783182002697,4.8438594076320838,5.8936528690302117,8.3137807229735703,8.9167488466471987,11.287398922039003,15.571758073868052,11.860360012279786,12.952108408533336,11.630932788231661,13.62691202950576,11.64423652325673,12.24475866766306,12.147696592930378,12.577611745011247,10.279069674947218,12.522415911363018,5.5719025446686299,7.0371670542537155,7.0536197797846345,6.5917091628643112,5.7006046670327937,8.0795167671807384,8.5551269489653805,9.1570310373075792,6.6138285462033783,11.65892895797014,2.7375788188669934,2.4903787106307007,3.1146806915253351,2.7133819017353389,3.1995923409356331,2.5073536345246774,3.4751475238369669,3.2236833359146759,1.7664523511854329,2.5526642594548301
93,0,0,0,0,0,0,0,0,0,1.9652398231474824,0,0.6827008123820395,0.31010044812459309,0.7014562964186849,0.62128250031100263,0.8116695262102962,1.097903420977163,0.8935791944943513,1.1514793219217114,1.0091965723266194,0.82274106910084788,1.6189117726122801,1.289201571937675,2.0934174808405315,2.0416975393079655,3.0616517273374417,5.0102267179495659,3.397124055612236,6.5421634513531552,9.5849401328060644,8.7067710114506145,10.671323697706164,9.551591132061473,9.7025261988195286,9.5301949625058509,7.2605308839225708,7.3420543325751844,8.389048707499267,8.6795446271067931,8.5349736236625997,5.4130425498287238,5.9359276399001306,5.1474199837185521,6.8249999361144331,6.1443266925815019,6.0329592383642412,7.4234591329695556,6.2952701473764039,6.4644849124385715,5.1227248728790302,2.7493903833135054,2.9793978326538544,2.8402377721672698,2.4961683341171605,3.772369305514804,2.5509655978019552,2.3748916831494404,2.760312983208649,2.9075770653796256,4.3540011777896961
94,0,0,0,0,0,0,0,0,0,0,0,0.78514818883214699,0.32515905800717904,0.50651443613740144,0.58621183429072854,1.518051042788725,0.55356004426040106,0.50228611786257515,0.51515737849939058,0.82726396764969001,1.1612944758999513,1.5826534256389453,0.9534863829658855,1.6875543717506059,1.4406088756092645,2.0703214789897442,2.0429650658379783,3.0306819265427269,2.3737642851098331,3.2561692411725289,4.3899550700904237,4.3281155299682172,5.4820310636222027,5.6275262700249877,6.7669849234598169,6.3610883842907997,7.0281230517886817,5.2318570439949763,5.7924305073098514,5.8618661008245896,4.7772136951104862,4.8964671333322505,5.3411073524686961,5.3491070523141158,5.654574845505814,4.1063866471905115,5.3492129915192068,4.7144059056034839,7.8942539525462054,6.5606753328097271,3.6443705982906955,3.3607726915621594,1.9391091491846155,2.476361874592758,2.1673407534078097,3.4971179132507917,3.023468993234093,2.3666975241144721,1.9252861386120637,3.1427608556321007
95,0,0,0,0,0,0,0,0,23.054336953049276,0,0,0,0.28324763980948753,0,0.27056572489319008,0.28490208446073062,0.1981205869926721,0.66245723500831188,0.47563812467067917,0.47195134611135475,0.42973086228689239,0.37562172474161204,0.6874070598795583,0.52639386674727351,0.97486295270337409,1.2021041232472631,1.1876256329056856,1.4322339182290982,1.9693015797489428,2.2754915295861915,2.6109393618320214,3.8624939037258033,2.9474326786708778,3.0987109776301116,3.8023700821258828,5.2859364977961834,3.6690819197143179,5.0224787050239774,3.297791479238104,4.5346354681367336,3.4243014533700351,2.0561495175146116,2.8652987878802798,3.4030381004583674,3.6667243664647735,4.040755189567232,5.5302897784859812,4.0118630105178053,4.018802797888628,5.6026249042632346,1.5273088176958431,1.4214534898828051,1.8064457502720295,2.6749874021545792,1.7606466743034046,2.2396958156612845,2.4364517016141689,2.0679490572368295,1.5303818317110927,2.2659105503163639
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20502249826425378,0.5541120750629831,1.0031135984369679,0.1780500175902234,0.47414991781336008,0.52383009884051268,0.48434492700854198,0.3075915155478714,0.87125029171070145,0.58762932377346,0.57858801148412775,0.65634531662451123,0.92799273199717291,1.3484199317245058,0.78654029967841388,1.2630298552950467,1.0213176941798472,1.3479634346812643,1.432601574801607,2.0188337598091382,2.7361191007129495,2.317170720718194,2.6750489569527924,3.926187123702785,4.4726207346796167,4.4436962510154965,2.9654190458887766,1.6307951709074116,2.4019814782683824,1.3063853027786809,4.1033155823455632,3.0418146398520949,2.5340467882173869,4.6156355027400977,5.0526527179899272,2.4828591537752338,4.7620241435189365,1.5135927235186677,2.2364189078479879,1.7806625352602703,1.4405033394854609,1.7261841049234776,2.1712634671081084,2.2401628990869273,1.6172608234505139,3.0958423363732517,2.2871488507995057
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14162851872311805,0.61145876679024147,0.17995914859159545,0.07762821173195196,0.20117397694701372,0.41988905705793256,0.70372800172600525,0.53349818521944514,0.30300770936955013,0.23654827452284288,1.2900578405155574,0.68917738050524868,0.78267563162626375,0.56419839168282282,1.0448461470340509,1.1873815891725594,1.0783151325800073,1.4933315025273934,1.4168670400718228,2.0691472487129277,3.3974248791132089,2.0976382813040786,1.8226971879035256,2.4999931132468016,1.5292583143808347,2.2999717126020345,2.2417808758718847,2.1109623040642242,4.5939526252808971,3.2003890895782954,1.8493687838502231,1.8659527700224032,2.9852001169464102,3.3118943770786826,4.264633278408045,1.7222278348898983,2.1262939883164416,3.4043798465799653,1.7153420917632238,2.0320334257871466,1.5601597473700617,1.6593572428889443,2.1232906991957319,2.9841984734155265,4.7701740065872675
98,0,0,0,0,0,0,0,0,0,0,0.5622447280531373,0,0,0,0,0,0,0.13640220296239505,0.41072940935786484,0.044813414982375267,0.2758748987830027,0.12028390744949263,0.82782416788942692,0.33308850431528036,0.12869982828302576,0.54007616772402234,0.37437593804333891,0.63457013214293845,0.46917487055365487,0.58580597923255251,1.3470750262250732,0.58822249796194614,0.6762158956140405,0.8707021800353012,1.09192333874111,1.5653390139295749,1.815977455198007,1.3461316903797229,1.764869378696275,2.1031259252109349,2.0566139746180574,1.7036338815022891,2.3686783992596547,1.9632212946139147,1.5707694816233631,1.704047894636693,4.4416405563749501,1.1727945545729688,1.7933605727894126,3.2410121795728797,1.0171804365583785,1.4059915114214789,1.5067393147782864,2.0273319076640344,1.435326416471236,1.5246854969755415,2.1840594758759369,1.2692801973780585,3.1356703803537616,2.0910865024139516
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2080808085892813,0,0.12347018146310933,0.052804405984927215,0,0,0.11176336737562236,0.28121592676092177,0.31532054140622434,0.17418382981207858,0.30325803896090164,0.20166768932960155,0.53004362598344745,0.504906033192008,0.79164554929070685,1.2250714649899024,1.0233106644284209,0.49615435301233934,0.7612841599193827,0.61241185235824558,0.66589052405960703,0.25617873462054158,2.613499106828316,1.2633666757255881,0.9954935572858008,0.70242892409147251,0.68500399931064215,0.80104549332184194,1.0097548329524242,1.5381442555021669,2.042483259443205,1.146813425787448,2.1241837290655852,2.8691859182044528,2.0618829671049967,1.0915709049009732,0.71889850457541049,1.29636481949184,1.4978222409933315,1.7288536511294534,1.3100560634257559,1.6725772022805978,1.1202892362182626,1.4695274879792279,2.3418513468408686
