local_numi_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
80,0,0,0,0,2.083614864833236,1.593990483896522,1.064783893697175,0.69034191159062919,0.38318198582595431,0.32503922764473248,0.21662210423539127,0.17782312835438477,0.12584036989603298,0.1038489598469711,0.081130573640072909,0.065042630108267219,0.057100687194341991,0.045470631935138894,0.037574327255669282,0.034698303301396533,0.028737249345597977,0.025965254765763328,0.017318705987600526,0.019326594476490575,0.01297579382820351,0.011833540505143385,0.009318639713499265,0.010835930413069498,0.0075139005872392594,0.0060566044692663065,0.0046408379734271419,0.0034893192852854761,0.0043272967849717269,0.0031403801643958753,0.002856942027763763,0.0018248859965660593,0.0018820350175853284,0.0016776776900381039,0.0012667984898237263,0.0019219958559552914,0.0005946669427240479,0.0011598320271116597,0.000968235184476337,0.00058737793677324983,0.0018708338086171658,0.00038479224213865533,0.00065552446328630525,0.00087524541143648945,0.00020240759811284163,0.00057458968818160439,0.00021831597972118036,0.00049543365622002264,0.0011413032079124281,0.00074629409787634016,0.00045504358297773502,0.00035495395188994195,0.00022104499493667913,0,9.2387289266189406e-05,0
81,0,0,0,0,0.13687185090068466,1.2110097207653898,2.922937958023283,4.8845808876056562,4.7212593705865675,3.6504440225747414,3.0868003843693721,2.3812081412978889,1.9824349422077689,1.5953211450214568,1.2307166869749455,1.0926465674648114,0.8127899337343597,0.73022590560104628,0.5725183885381574,0.52660065682518442,0.41642711778654412,0.39266400487023823,0.31483164347848597,0.28289057308791388,0.19853822701614526,0.17280965331449297,0.16599781911438619,0.14295544779053121,0.10103422982624671,0.089130370212156321,0.070364543741519764,0.065997580569782346,0.063555663218478969,0.051020973468519089,0.04753405144339113,0.03676338564403233,0.029584435654527133,0.043048449077252686,0.021192143683709655,0.020660003144892171,0.014122219759235196,0.011064183769348288,0.0089361838572100324,0.010251383812520285,0.015266442057693166,0.017147682606393374,0.010366790723984155,0.0074514085887002982,0.0089277292822851819,0.012827227878905665,0.0047859853046172077,0.0057941743204874786,0.0038776674816424586,0.0053348756580700761,0.0033982719050864832,0.0053139317110752742,0.0016504205248289779,0.0053378470676508161,0.0047090224178967825,0.003140701313586053
82,0,0,0,0,0,0,2.7792792708802359,2.5883525002759624,4.5910080860685749,6.2920303649134688,6.6326544099679916,6.1263887733763793,5.27106736008363,5.0360085226610272,3.7646694775520237,3.2899729811135465,2.5731579968756764,2.4931355460398472,1.9003285799221896,1.7848898217829519,1.4117732475989766,1.3478297598539886,0.96914435459760662,0.98778557985160365,0.69517815713540454,0.63922363107610813,0.54260184405326706,0.49885900515775666,0.37536061117294139,0.35380858273728016,0.27770588470031043,0.30078133255893069,0.19718915009872887,0.22087871232691136,0.1313445278959483,0.14178546114182775,0.11141413397449372,0.11123457320314813,0.07312559820951936,0.083359493291468162,0.051385992273368521,0.042846189323028666,0.03970169591505595,0.046329171077913005,0.033113770528429676,0.037111539536411074,0.042641129045347989,0.041455488776185878,0.047632894218220194,0.026290237175601913,0.010515001163194709,0.021137779270375506,0.020872636507368515,0.032083841034146562,0.015680939167658291,0.014919633131457053,0.010355471514945851,0.022629834061549486,0.01358744782363629,0.013022738395422081
83,0,0,0,0,0,0,0.00023813309585400325,1.2143778259360041,1.3178742864780226,3.247436276007746,5.5649128694842238,8.0598167388253525,8.5234938889819762,8.0638287106104141,6.6249932725965515,6.4205621823160826,4.9405433417280094,4.7060941539261876,3.8370547736205052,3.5072488538915181,3.2402066084878896,2.7522358611886117,2.238439847357359,2.1752094530819464,1.5804995981176295,1.5444717667347871,1.2622471486707776,1.2184530722386748,0.83034536907798651,0.71467871860033294,0.61894151933798602,0.63427705608787843,0.48714559871228336,0.46013974406027297,0.34582573648440612,0.33551380421956839,0.28625542934739945,0.22758611793443326,0.19506602821514391,0.22141501823380852,0.11916189396052092,0.12213844171395001,0.12955290384191381,0.12727378490154367,0.094953095761524442,0.09549962798022317,0.079326662049359106,0.11566789269286243,0.077257878717801293,0.073228999025143557,0.039858546825824556,0.066737551624704072,0.04473234507280284,0.015901257350871448,0.044972711380484212,0.047734961322206629,0.032659940469617378,0.070089681006810317,0.041664894013310735,0.017267589574939245
84,0,0,0,0,0,0,0,0.84271499168450614,0.83313174550802316,0.95917892054234821,1.7108959086672784,3.0262476599079982,5.8472774460514438,7.4810683305471253,7.5775752035967985,7.5587967014683946,6.3244657124731392,5.7362833867243577,5.1169130359502093,4.9613509005113006,3.8562811020528711,3.8436036093890045,3.2750604859526744,3.0631564128258106,2.1939951666169217,2.1896901137387741,1.7888742483335105,1.8274650490897819,1.2703260774848353,1.2010698923793481,1.0159566959922577,0.97329793108824847,0.75791245568651711,0.77561520613205381,0.5780824185200486,0.52341063557412992,0.40632437220373513,0.39697005801996116,0.27970789974172744,0.26594048326848418,0.15634588127738941,0.17443671344582534,0.20812965668847055,0.17157027969710825,0.18770152467418522,0.1946368188162973,0.10216405490091168,0.18583902812791084,0.14730810168679845,0.12689386944227682,0.11907231417211817,0.061897539930759402,0.064170476188341999,0.071756100240157786,0.064944495880852188,0.051113237973816485,0.10784427874633905,0.10800572949434299,0.044386109255305881,0.048718336152882305
85,0,0,0,0,0,0,0.20328758408414024,0,0.34862859371586502,0.8780226066915845,0.89744653529348506,1.3172328125717407,2.0760515241587725,3.2835371489894416,5.1003073227791385,6.2990147697628318,5.8636552785686433,6.4920665320943876,5.6632845740824331,5.6319471567996482,5.0446249633149103,4.6960612687583847,3.7553592980170483,3.6356043643481128,2.7828397368045716,2.7486042845418628,2.3626378513406494,2.2485892211945875,1.7417931056193277,1.6053799963473934,1.3906232784415808,1.1764289839270767,0.92515758243778623,1.0062616998720606,0.74086601172025224,0.66511438419946545,0.53718408237414439,0.54596511186972552,0.4651240419329794,0.35958768590689782,0.29242651165568395,0.24180911733860502,0.20874086891673216,0.21080293294994087,0.27508941198369002,0.2059309288936754,0.19374153620146758,0.18845512053443544,0.22292833375700608,0.16861642737478424,0.069837706283486858,0.065216065226914421,0.085570779727242335,0.057945589887017056,0.093464260374495498,0.09721711483527036,0.067867983769798995,0.066156858193845328,0.061951820189176381,0.063689270762256792
86,0,0,0,0,0,0,0.00057503726382327099,0.13373240758422997,0.10547064861036955,0.24904827244408007,0.42729976502764805,0.60059756104204454,0.66897280909925649,1.3590130059851953,1.6898950965999857,2.7035428156935182,4.2600826715273943,4.9628204323521654,4.8664518234865008,4.9270188476278811,4.7371933805621582,4.821397198065366,4.0673961326499954,3.9663489395585176,3.0385559207143422,3.0411739338008772,2.6600873568886008,2.6070670639652214,1.9179423643828128,1.9277429747527326,1.5727805703005335,1.4987919640350904,1.1467599570864626,1.0558773225198232,0.91842859765517693,0.90073919216313569,0.63684186683413579,0.6222715999149665,0.57018238856142578,0.56375177454863545,0.33540877116886614,0.38708710646516731,0.29280258022508665,0.24313991474058533,0.29809956163743861,0.32084831398369401,0.28735128821610423,0.2349199858379511,0.20531313342334576,0.27824317887708588,0.10515896178422351,0.084939740666013716,0.15014017322259562,0.12732939155956946,0.082254761121502776,0.14519050830629593,0.098023540646146462,0.11194235844961603,0.067660217576644324,0.12118015018697471
87,0,0,0,0,0,0,0,0.43050719267757692,0.44375108814348752,0.4855409655589511,0.1829360553184729,0.47152892908326116,0.40085020246773612,0.73679190631334268,0.66551524090789882,1.1866095131042098,1.6105250736680816,2.2481659745153979,2.9065839655310262,3.4897667432745387,3.8682962403604875,3.7962242809700042,3.482112018063658,3.6433286672516787,2.954973242203164,2.8549045426280899,2.5018954165820748,2.5348212989021768,1.6719412891227794,1.7621190148685,1.5153537981853114,1.5343964095911677,1.2520231940304645,1.206919842279419,0.88658856002109998,0.94211995227879586,0.65845798689929225,0.62283567766106085,0.60049466230525173,0.55269433232924459,0.38043334642927074,0.34479187924025584,0.33695303358023188,0.29483952546882181,0.30416150692174493,0.32036391089710853,0.25406419045520773,0.42227682764508112,0.27165438506873385,0.23883069674070687,0.16169552747714686,0.18308723184415654,0.062192212102540889,0.10376831303774517,0.12902427582595413,0.059007989351514946,0.090191952714687093,0.081209737731632037,0.11470857615103698,0.12907060048644881
88,0,0,0,0,0,3.0404169818080171,0,0.13028456994403123,0.18125172828371774,0.071417398774784452,0.165930255419419,0.14789137618935547,0.20808443169940191,0.19096486415121797,0.22735498480196178,0.41605374044266302,0.51434907127915486,0.66982218204362753,0.90584003938635171,1.3367088530037725,1.57127572413634,2.3062833690549764,1.8833933719529694,1.8601548909852337,1.6966751201451973,1.6431966435336909,1.6151360707044193,1.5457164951068083,1.1797072150869952,1.1832323861218159,1.006302667897166,1.04857646327961,0.91334076535649578,0.83368202193706897,0.67807605397962423,0.58157275202313319,0.50019611706986244,0.45493831884494551,0.45030003836686361,0.4929048596472777,0.24692282869096827,0.22739227964528919,0.28211620348079558,0.23111515906681313,0.21328304746070348,0.22680316637870856,0.2860835867558969,0.2095575312573742,0.29902606353089667,0.19615188486037355,0.12680075973869953,0.10775880109187534,0.10369271099790818,0.12123201690940806,0.089994545258168648,0.11500556991828807,0.13079826509049558,0.086068333635359887,0.087043681595349726,0.084241035057323499
89,0,0,0,0,0,0,0,0,0,2.91626090840864e-06,0.2378832194212854,0.17754923292543695,0.1025292934649514,0.20365704512279509,0.26286656095621813,0.33128559075050151,0.28391833526519994,0.61878065445723307,0.52101354301608704,0.90174972308579271,0.99648442323699615,1.5360236958372375,1.6179709864897782,1.8303634044841652,1.7249657338003124,1.8331493122936691,1.5097732764121108,1.8327623374323734,1.3808684510493419,1.6083212458468101,1.2382667115794266,1.2902123245933357,1.1162472624256987,1.148760110846087,0.79385132445348872,0.89638204987705017,0.7556182479168313,0.66951461671864776,0.58938370784862681,0.61409616821541169,0.41444191142145298,0.4485707068635198,0.3245109000936045,0.39606152871767664,0.377849129456443,0.42908781834514453,0.289290896659611,0.38415006306995703,0.41124385063809982,0.43367804465112603,0.12981151968060839,0.169146517362428,0.16815417752154291,0.13517745603543077,0.12605683888989461,0.18529609863865684,0.13620200964049747,0.11664187431320835,0.19979812780812245,0.11592367839904485
