true_bin,raw_column_sum,is_nonzero_column
0,0,False
1,0,False
2,0,False
3,0,False
4,0.00017658498742921766,True
5,0.04516341126624393,True
6,0.1563607704018799,True
7,0.31945258704076063,True
8,0.58203917201211797,True
9,0.66343282820284466,True
10,1.1065788458500343,True
11,1.4904960456217258,True
12,1.812177051708161,True
13,2.046272582300217,True
14,2.7331530743195791,True
15,3.0116779648899885,True
16,3.5005239662551881,True
17,3.4491538786506588,True
18,4.0019197905747985,True
19,3.8979031502500288,True
20,4.3301947988896199,True
21,4.7283542022622003,True
22,5.3974101521627667,True
23,4.9078729185240482,True
24,4.6010051778403946,True
25,5.3136107809906221,True
26,5.0152654952378235,True
27,5.2094465212464804,True
28,5.0866382853663916,True
29,5.1007206277105945,True
30,4.9379838220432957,True
31,4.7313407743743703,True
32,4.8231379853518206,True
33,4.4012784712867461,True
34,4.5288013119622059,True
35,5.2078158743166476,True
36,4.1796017741894209,True
37,4.5241241579458835,True
38,4.5829309047423825,True
39,4.2217284511552897,True
40,3.8175672983664954,True
41,3.6300658985409493,True
42,3.6851900743404098,True
43,4.0065111822250961,True
44,3.5965680583204911,True
45,3.6485510091003928,True
46,2.774260331300749,True
47,2.8870772873460484,True
48,3.0477035869490936,True
49,2.6211455716522445,True
50,2.9961262555563866,True
51,2.460748533500305,True
52,2.5400497813643712,True
53,2.3045117609426069,True
54,2.0486850529770977,True
55,2.123514834869662,True
56,2.0917082298050755,True
57,1.7825411308095327,True
58,1.795114661193572,True
59,1.5958593142258832,True
