flavour,energy_low_GeV,energy_high_GeV,energy_center_GeV,baseline_low_km,baseline_high_km,baseline_center_km,psi_per_POT_per_cm2_per_100MeV_per_km
nue,0,0.10000000000000001,0.050000000000000003,0.050000000000000003,0.060000000000000005,0.055000000000000007,0
nue,0,0.10000000000000001,0.050000000000000003,0.060000000000000005,0.070000000000000007,0.065000000000000002,0
nue,0,0.10000000000000001,0.050000000000000003,0.070000000000000007,0.080000000000000002,0.075000000000000011,0
nue,0,0.10000000000000001,0.050000000000000003,0.080000000000000002,0.089999999999999997,0.084999999999999992,0
nue,0,0.10000000000000001,0.050000000000000003,0.089999999999999997,0.10000000000000001,0.095000000000000001,1.0196875518173442e-09
nue,0,0.10000000000000001,0.050000000000000003,0.10000000000000001,0.11,0.10500000000000001,3.5559209627939754e-09
nue,0,0.10000000000000001,0.050000000000000003,0.11,0.12000000000000001,0.115,1.0093683174693124e-09
nue,0,0.10000000000000001,0.050000000000000003,0.12000000000000001,0.13,0.125,4.3443557453912229e-12
nue,0,0.10000000000000001,0.050000000000000003,0.13,0.14000000000000001,0.13500000000000001,4.0030750874188166e-10
nue,0,0.10000000000000001,0.050000000000000003,0.14000000000000001,0.15000000000000002,0.14500000000000002,9.6675663256922783e-11
nue,0,0.10000000000000001,0.050000000000000003,0.15000000000000002,0.16,0.15500000000000003,1.453227836909464e-10
nue,0,0.10000000000000001,0.050000000000000003,0.16,0.16999999999999998,0.16499999999999998,3.4476065016906316e-10
nue,0,0.10000000000000001,0.050000000000000003,0.16999999999999998,0.17999999999999999,0.17499999999999999,6.3315673358034667e-10
nue,0,0.10000000000000001,0.050000000000000003,0.17999999999999999,0.19,0.185,1.8817968370173281e-12
nue,0,0.10000000000000001,0.050000000000000003,0.19,0.20000000000000001,0.19500000000000001,3.8121304179809649e-11
nue,0,0.10000000000000001,0.050000000000000003,0.20000000000000001,0.21000000000000002,0.20500000000000002,4.2774280048334496e-11
nue,0,0.10000000000000001,0.050000000000000003,0.21000000000000002,0.22000000000000003,0.21500000000000002,6.1231858842326178e-11
nue,0,0.10000000000000001,0.050000000000000003,0.22000000000000003,0.22999999999999998,0.22500000000000001,1.0716814625945914e-09
nue,0,0.10000000000000001,0.050000000000000003,0.22999999999999998,0.23999999999999999,0.23499999999999999,1.1242930510044943e-10
nue,0,0.10000000000000001,0.050000000000000003,0.23999999999999999,0.25,0.245,9.3392459592649969e-11
nue,0,0.10000000000000001,0.050000000000000003,0.25,0.26000000000000001,0.255,2.9086081025874613e-11
nue,0,0.10000000000000001,0.050000000000000003,0.26000000000000001,0.27000000000000002,0.26500000000000001,1.5408574136013776e-10
nue,0,0.10000000000000001,0.050000000000000003,0.27000000000000002,0.28000000000000003,0.27500000000000002,1.4009069489638692e-11
