global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
90,0,0,0,0,0,0,2.3822027503260415e-05,0,0,0.005226279341388051,0.004995748260700446,0.0062886964361206941,0.0053913962741422633,0.0046515408545015867,0.0057611563473352412,0.0075363797727976906,0.010128381570465269,0.0094386535581453424,0.011309178705162487,0.015279617553646745,0.026258246836169959,0.024544396261578661,0.03302812363957059,0.04193019335629572,0.054069009683598214,0.069421580558709894,0.065680467479641486,0.074154599071462768,0.072281025932440679,0.070028499430176305,0.074452247428422727,0.075346710986749402,0.078520799550929249,0.073295745382565683,0.062847185669934011,0.065189506241958323,0.059279206206880118,0.066928834803191298,0.057917169820411722,0.067441235064769012,0.060222564304767433,0.051068932312109766,0.063660051038680249,0.054309785234568794,0.045918177519465579,0.042304159255384395,0.048643592551814989,0.046496647676202145,0.034747127389263235,0.027643140370419712,0.021155575864545941,0.016389872694654826,0.025688338657952517,0.021152486560630894,0.024958781444240744,0.015578497383329127,0.020235033602053244,0.019856751034922373,0.021689965133017096,0.0072598603607519525
91,0,0,0,0,0,0,0,0,0,0.0015591495943986511,0.0014809571277303562,0.0023561135812785951,0.0028345626488488654,0.0033381366536289359,0.0050482016537713595,0.006181692081100712,0.0050319436148169921,0.0075427306934641456,0.0069373735677275977,0.0092317318139557829,0.0088933135296669422,0.017081567827593961,0.014262259799874813,0.022120010144444403,0.031965628372675553,0.037044003751228356,0.048240746828396228,0.050647259794864147,0.053859574718062159,0.049025875170115703,0.048603687386342062,0.05589638483517987,0.059048354724507146,0.059996202464021868,0.06644449617718523,0.077752405458297827,0.051616792367538654,0.065414640063535021,0.071085196541246634,0.053220538990275422,0.048211502805604128,0.050564896859121994,0.054568918025062106,0.046385878722567643,0.044879378686508292,0.040231208431155283,0.031480839963916589,0.021559672193916954,0.041862366782688822,0.034275343356046331,0.03460065755788453,0.03292145032724339,0.025207713633992979,0.028066048132357673,0.02997580018196928,0.021104098033518634,0.018497053262111134,0.020230629579156816,0.019347100185279298,0.015461629902524253
92,0,0,0,0,0,0,0,0,0,0.0016370178957563696,0,0.0033578586678202228,0,0.0025170695952190223,0.001932054402521771,0.0026170294930086312,0.0048943162649636475,0.0074211034285385623,0.0060776976457230176,0.005914513009568214,0.005145763305279008,0.0062607393865243407,0.0089761732857957903,0.011774790520313971,0.015609714088144487,0.018930965079621234,0.026158263670101278,0.027118602460349386,0.035373014313464693,0.0438061620383568,0.0342788825425187,0.03672677557545926,0.040248647648200783,0.043226058611273883,0.043996299637940404,0.043396016874197654,0.04857151335454693,0.05244343280344612,0.045851496172743443,0.054769033658925402,0.03765129089963707,0.044663978843858004,0.041793160428512097,0.037824720371651382,0.029241729639771126,0.039431798704469681,0.040324095656608397,0.039713429397489938,0.027522900944100443,0.046009272879854207,0.024714350565787704,0.022034743459942423,0.024563510883954968,0.019559182634377677,0.0216805925608522,0.016835574338424593,0.020388832961239462,0.018023672167830736,0.0087862362479276084,0.012297717695935012
93,0,0,0,0,0,0,0,0,0,0.0024997299442512779,0,0.0013173777257233542,0.00072784548299933928,0.0015806699355144177,0.0017494440087741647,0.0021664008910787192,0.0032417086145583337,0.0026248057861695171,0.0041817436990880877,0.0032289524867987847,0.0030830761520080335,0.00549417053555729,0.00438663468002491,0.0070408636265358229,0.0072556335080911508,0.010844873779375024,0.017383940993367514,0.011393382828870171,0.022608934689674724,0.029734967994688548,0.027750219324149433,0.033368842139838893,0.036449618199033543,0.03394013169165401,0.039708861108736969,0.028375827135390941,0.032373213110829004,0.038573243286950394,0.042695013531120325,0.041165145128736841,0.040336509428908776,0.041545946716016927,0.033632820229411227,0.043187777343992192,0.034756572779469717,0.032469238694639004,0.038585578265427162,0.030107700712963505,0.02966577607813432,0.022292986800235604,0.027371556421587933,0.02907044061345963,0.024700862745481555,0.019842398197450564,0.028188451246147626,0.018888499590933631,0.015365384843928942,0.017018831818808838,0.015948237600184961,0.023131291252333552
94,0,0,0,0,0,0,0,0,0,0,0,0.0015676432057277483,0.00078967492692339403,0.001180995105434715,0.0017079737939804231,0.0041923897849450954,0.0016911816863705007,0.0015266201717327634,0.0019357839611847793,0.0027387077527694704,0.0045027634305609913,0.005557512795486697,0.0033569187621458872,0.0058727776124039722,0.0052971919874198218,0.0075879104642230053,0.0073344490470841264,0.010517132311867516,0.0084881294651724098,0.010452032106530939,0.014477216447622667,0.014003525397004762,0.021645840146771352,0.020368634956933564,0.029174038366762751,0.025723335224977651,0.032064410787081887,0.024891152414552604,0.02948198644093598,0.029253582321803362,0.036833860237783449,0.0354599892995245,0.036109434210579036,0.035023148573865161,0.033096212659325719,0.022867424230963024,0.028768967576081692,0.023329524419413331,0.037484228463166881,0.029541426885075169,0.03754060895228771,0.033929538404371858,0.017449194114950203,0.020368080149392145,0.01675714026137682,0.026792844896472021,0.020240481958219869,0.015098363248506008,0.010926786103566871,0.01727580784522233
95,0,0,0,0,0,0,0,0,0.029948769524310786,0,0,0,0.00065582926455309202,0,0.00075157339983562463,0.00075014100574911512,0.00057706819346112692,0.0019195952599030638,0.001703984425010842,0.0014896039380737172,0.001588566189686569,0.0012575270963063843,0.0023073438751731699,0.001746500046865528,0.0034175524912181013,0.004200475893723645,0.0040649772376419703,0.004738522346890592,0.0067136490174036631,0.006963715002851761,0.008209066575278862,0.011914569242443307,0.011095550364801454,0.01069294824039276,0.015628875265590904,0.02037932470619196,0.015959280775536142,0.022781338620809614,0.01600262032998423,0.02157533476748625,0.025171932438706697,0.014196537981347672,0.018468485920488602,0.021242846378674993,0.020461082486187502,0.021453193458629279,0.02835660765858504,0.018927663601130348,0.018193077893645285,0.024051738282273211,0.014999529553399935,0.013681807188505165,0.015497799653805521,0.020976340651642857,0.01297827338591458,0.016359483680716547,0.01555052791239042,0.012577633895162685,0.0082807363779737863,0.011875223476245226
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048995160500960218,0.0016547013795579263,0.0028393621645549094,0.00055752320230181883,0.0014770353664155934,0.002017450116360829,0.0016434319709025995,0.0012223807878139377,0.0031356889755129328,0.0021204361001828319,0.0020637192026227848,0.0024735882622219101,0.0034859758822268238,0.0049616612750630132,0.0027975209742777713,0.004628959847066183,0.0033600830754108579,0.0045561550713860916,0.0047507191429666537,0.0081701288686052073,0.01015020433557534,0.010238934540937897,0.01108722792380624,0.018359053815444958,0.021809544817163785,0.023181186895325143,0.015167871069832388,0.012887461396988219,0.01782874626094778,0.0090522399169658055,0.027536212836117794,0.018247630605711544,0.014463301265576583,0.025442587964493977,0.025626763207765319,0.012083283364987745,0.021977075915350069,0.01598023654244449,0.023141279110729922,0.016422910772085179,0.012143549544357033,0.013679027233287757,0.017049689441125875,0.015370582423688793,0.010574566509059817,0.018008244812814621,0.012885962201403197
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038045690690822819,0.001817072216530582,0.00053202645882663012,0.00028373703403126186,0.00064781778117700391,0.001583619375719363,0.0024036927943393454,0.0018270009068327116,0.0010256966560669321,0.00084605557589240881,0.0045991023289715582,0.0024066728059651231,0.0026419115356798371,0.0019623918328638677,0.0032623127344918023,0.0038088580114017632,0.0033936239698601693,0.0057354653690448619,0.0049883046786282064,0.0086770523766145306,0.013363653008501725,0.0093088061699706619,0.0084349621689729492,0.012376966129319558,0.0074234107764586926,0.017249421799249692,0.015791682244613928,0.013881913529677789,0.029257680255955505,0.018220513107575519,0.01001752448628159,0.0097614540260521632,0.014369175320196624,0.015296548252138815,0.018678590189690304,0.017256346919157721,0.02088053409910114,0.029798239721395756,0.013723541849721379,0.015282099933561947,0.011626717040659588,0.010805247173193975,0.013175771391141834,0.016474200287316665,0.025505904626391535
98,0,0,0,0,0,0,0,0,0,0,0.001124689674305209,0,0,0,0,0,0,0.00042677786254169544,0.001588815403568088,0.00015272505889651634,0.0011011579922250488,0.00043481333557953691,0.0030003029970649213,0.0011932902820952233,0.00048716746098203617,0.0020376993244209315,0.0013836146816351984,0.0022669256882575707,0.0017270695408194172,0.0019357454364663936,0.0045731711512440711,0.0019592093646237205,0.0027486472538093497,0.0032442529187285988,0.0048461200434854078,0.0065163579935283971,0.0085289395821530906,0.0065929132623741941,0.0092471766948941277,0.010804610556377724,0.016323979023890725,0.012700847558131783,0.016485273414342153,0.013232558764675011,0.0094643648662009749,0.0097687700127428601,0.024591129358106291,0.0059744995486314453,0.0087660870456910053,0.015023262766256313,0.010786423209277952,0.014612421418713585,0.013957637573163231,0.017165700077150899,0.011424154391959219,0.012025122292867488,0.015051523796074717,0.0083357618044005537,0.018320116857939352,0.011833131933458195
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00068055463524233258,0,0.0004444240957706584,0.00023498644656922836,0,0,0.00046478255323388829,0.0011725245362954511,0.0012995522171383432,0.00075851321640170043,0.0013162925458708953,0.00085742978854593758,0.0021783330699298269,0.0021381622305778137,0.003009402170813955,0.0047845611126735958,0.003921044115084182,0.002320093303557758,0.003263223930703189,0.003126803705403333,0.0031889989193520543,0.0013841484572795367,0.01472540272667058,0.0076151947940379045,0.0058835209729826612,0.0064140249265063768,0.0058749551212106954,0.006413605570751952,0.0078297073039307868,0.010661813937519962,0.013470124357797521,0.0073043713521625366,0.012448776825493319,0.016134364476862516,0.010995187071291346,0.013316387365466649,0.0085953206294173932,0.013815164009091456,0.014589887766845363,0.015830208274316263,0.011886503581528951,0.013260417355308916,0.0084639476080792374,0.0098771252614530715,0.015245513029776307
