global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
79,0,0,0,0,0,0.32679871183839432,0.20265135739762907,0.096621025546414996,0.068358847222173044,0.034168965838568884,0.029417097237278634,0.029323286364006503,0.014400333675760726,0.0098031441385241277,0.013239953133107241,0.010000869866565133,0.013810462670227563,0.0049269304605619327,0.0067091361450854169,0.0033018455228756845,0.0031186119318846947,0.0030609936731754877,0.0025072414204342212,0.0016878369208734264,0.0021479456047954356,0.002039347768648064,0.0019109442950565516,0.0016036851368383307,0.0011804307010574598,0.0011723941357229847,0.0016598061336817614,0.0012163303976269115,0.00073810858331737185,0.00078431368084851485,0.00083933641262007492,0.00060194189528867288,0.0014899199831745868,0.0018104696730354502,0.00052963510326140592,0,0.0010951293629885082,0.00043833792416043781,0.00014347328099250208,0.0003189578731908222,0.0018545177276713951,0.00071990524813092093,0,0,0,0,0,0,0,0,0,0,0,0.00060571312768966908,0.0009078831575896262,0.00047627808517687522
80,0,0,0,0,3.140536562374256,2.4855538290313572,1.8392067599329274,1.1847943797343419,0.69572293188829604,0.57513813775158318,0.37752067690180485,0.29888177665399895,0.20686648012990766,0.16332834320782302,0.13852321908286963,0.10503417479784091,0.10259521088903281,0.078004601269343013,0.068784025159913692,0.060711968655930447,0.052656436393941228,0.046036791304878158,0.03451354199599057,0.037236367855270167,0.029444784537602842,0.025910194931683332,0.021589434509999544,0.024160492095187419,0.021111773896540991,0.016615865895552747,0.014089853314153439,0.00990300197527994,0.01422320768486738,0.0096118547249699725,0.010480179898596346,0.0065039969452147352,0.0078188638090965299,0.0065826519719878688,0.0053723604350533125,0.0076792344748943713,0.003567505052021329,0.0063617189247092993,0.005014968791720394,0.0028576762405150306,0.0084917804166658676,0.0016787569488317532,0.0026210909500967669,0.0032939274881999049,0.00070763423357295531,0.0019075298085556929,0.0013627974087501444,0.0029058490299556862,0.0060328366173729173,0.0038443531449373165,0.0021043858457769518,0.0015476153811121668,0.00089867728751300306,0,0.00031915379474206119,0
81,0,0,0,0,0.091993415020342792,0.84205657665901557,2.2513596216042768,3.7381975168066246,3.822480589399333,2.8803036645868758,2.3988479030391554,1.7846980241378803,1.4531996243364882,1.1188290172783697,0.9370274466279066,0.78680739555389645,0.65120880523605529,0.55860222542507909,0.46734974227693998,0.41086927659186123,0.34025261002084678,0.31044862751375757,0.27977484440999523,0.24304497571251782,0.20089761352485758,0.16872528557363334,0.17149336524801176,0.1421335072661927,0.12658551437500418,0.10903744599785659,0.095262096686105732,0.083523822934822842,0.093151814485214091,0.069635373202036319,0.077755001817217465,0.058427362795230461,0.054806924500829926,0.07531926423539706,0.040076398760872975,0.036808833876754189,0.037778956629250605,0.027061692498715838,0.020639333291900749,0.022239964141022556,0.030899935570294853,0.033359777580837371,0.01848390437388444,0.012504857992723276,0.013918076855934044,0.018989018168467594,0.013322119621379965,0.015154279482166187,0.0091400229194282066,0.012254448311031025,0.0070078806527169449,0.010331495357121818,0.002992084747374169,0.0090759353085700222,0.0072539530459979429,0.0046016823917433489
82,0,0,0,0,0,0,1.6056825219931141,1.4858007609417447,2.7880316709330204,3.72379367449058,3.8661949802833866,3.444087317399724,2.89819174722225,2.6491361104708218,2.1499249123724944,1.7769830089699383,1.5463600373472091,1.4305186776596857,1.1635458018526259,1.0445660349074639,0.86522612940595511,0.79929281676212505,0.64598282731650258,0.63655080292163058,0.52762938280548743,0.46813079473817615,0.42046361705877611,0.37202814355953601,0.35274948573092757,0.32465383704402689,0.28200288995617256,0.28551928309172991,0.2167815390307225,0.22611909829978205,0.16115274374158753,0.16901867802475248,0.1548155742988582,0.14597906188490051,0.10372547862658708,0.11139840124222743,0.10310837862367127,0.078604967604656503,0.068778839480710174,0.075389061159104986,0.050272512559694241,0.054153795087355384,0.057026969508683183,0.052182471236165352,0.055699000820459268,0.029192172738018031,0.021953992397600985,0.041467257174709948,0.03690253887371913,0.055278727204322371,0.024255088202669355,0.021757429061574598,0.014081579420774622,0.028860832245487068,0.015699437340266523,0.01431180917075362
83,0,0,0,0,0,0,0.00010981265258783007,0.55641152388902826,0.63880566966975227,1.5340537273374426,2.5891659365201294,3.6165951862057701,3.7406867024934427,3.3858229362388932,3.019861415858506,2.7680194201762593,2.3698671998257046,2.1553280752535384,1.8752445622811142,1.638310450797642,1.5850483499129797,1.3027517057813311,1.1909213015603271,1.1188622028189354,0.95748587741425062,0.90281651593370227,0.78072248514603559,0.72529038232814202,0.62284730848059244,0.52344150834007064,0.5016758848774322,0.48058332703928891,0.42746759287704172,0.37599170362589079,0.3386789176762614,0.31924089982660503,0.31749232000315314,0.23839748854917506,0.22085273881665876,0.23617618303147173,0.19084981360234771,0.17885261644558623,0.17914226842034134,0.16530953224009257,0.11506313894395795,0.11123122970218154,0.084679037011786903,0.11621456427769059,0.072108812894629851,0.064902308785245347,0.066424879905776016,0.10450121838768189,0.063125631429932341,0.021867960351238277,0.055524542960560329,0.055563697665929307,0.035448838660681214,0.071348803899861354,0.038425684471911276,0.015147085276781984
84,0,0,0,0,0,0,0,0.36143053759076138,0.37801609975160994,0.4241323458467372,0.7451212338735701,1.2711038543317561,2.4020896885755176,2.9402780805572504,3.2332081364752061,3.0503563483664253,2.8397164365202126,2.4591510691802267,2.3408295338620722,2.1693588616979915,1.765795197073456,1.7030069874212062,1.631018159901767,1.4748455110050804,1.2441578667150668,1.1981302008248798,1.0356999076166242,1.0182490816797505,0.89194869371950625,0.82343140264560344,0.77081585995135782,0.69029914306832962,0.62253717862357449,0.59324852448607046,0.52993481241928897,0.46617879216753377,0.42184625792873598,0.38923823537188224,0.29643379672528547,0.26553105084828971,0.23439191315575761,0.23910169495667316,0.26939325726850738,0.20859449027857052,0.2129103262252543,0.21220318240112387,0.10208376715463123,0.17477789183927775,0.12869866311386735,0.1052736123443053,0.18574705948364109,0.090724860476801256,0.084765897966146295,0.092371389268702628,0.075055082538749762,0.055691612758212508,0.10956846299123091,0.10291560804444976,0.038317771640918902,0.040002914758232144
85,0,0,0,0,0,0,0.082594713640458159,0,0.14889035130078848,0.36543858730300033,0.36789075475852284,0.52077010600153439,0.80275049564983003,1.2147129336338494,2.0483619043403056,2.3926406443991404,2.4781437783300704,2.6196574682752209,2.4385803725343549,2.31791210662715,2.1742399359325395,1.9584772384177394,1.7603454535366281,1.647634624371517,1.4853710535930928,1.4155998687644074,1.2875325565498952,1.1792937819464056,1.1511400507507619,1.0359622466528924,0.99309747261346271,0.78535169708344399,0.71526816831507201,0.72444969094568523,0.63926260024890269,0.55758777858175634,0.52494209484356258,0.50388284450787868,0.4639794112111173,0.33794234099836146,0.41264810910015115,0.31197828598770139,0.25431218967834113,0.24123724467506499,0.29370391578222477,0.21132720548838843,0.18221672728371907,0.1668262739414724,0.18332412017321467,0.13166965716354964,0.10254348118497895,0.089973465690283486,0.10639429252998341,0.070211131600930163,0.10166940153710573,0.099702503992098124,0.064902338213215366,0.059335725752032123,0.050340111663618056,0.049223489961016366
86,0,0,0,0,0,0,0.00022498984929953249,0.051989215299119734,0.043377119216310281,0.099820048754890825,0.16868189893214677,0.22866126864022668,0.24910156682729484,0.48415104463778758,0.65357529722115126,0.98892564628482782,1.7338105264066972,1.9284822570015157,2.0179325977351459,1.9527567823829604,1.9661888832921623,1.9363471646395203,1.8360665480110887,1.7310146806453828,1.5618507564169364,1.508325567227019,1.3959906186219406,1.3167084598430021,1.2206543072515146,1.1979556755290386,1.0816233536818214,0.96353027556807935,0.85379035388654279,0.73204249018599821,0.76315114908624682,0.72717929446687757,0.59930156272057489,0.55305739049411839,0.54773344320218653,0.51021269210038322,0.45578819216142258,0.48093450862988235,0.34352640813371788,0.26794737653135042,0.30649453690312789,0.31707290516036335,0.26025806131183121,0.20026359701790419,0.16259104008023692,0.20923574834544362,0.14869279267246946,0.1128486391982485,0.17976920301626809,0.14857296376569248,0.08616507646635542,0.14339271965512809,0.090271637393089327,0.096685506729604395,0.052944278279256594,0.090190989345327668
87,0,0,0,0,0,0,0,0.17129249003296099,0.18678836985875516,0.19917803037124723,0.073912254445713879,0.18373787897421964,0.1527676550228515,0.26864788038882736,0.2634360467989692,0.4442419076545725,0.67086079179129043,0.89412197377261127,1.2335547010474111,1.4156035482461931,1.6432557471567226,1.5604271106123364,1.6087775474013783,1.627381951721981,1.5545588343877308,1.4491946983573329,1.3438075100341524,1.310285943905283,1.0890792168836503,1.1207485086166449,1.0666041615914159,1.0095850124945749,0.95405279931749631,0.85641164947060711,0.75399523127158508,0.77844862823283456,0.63419554209424134,0.56655883118082362,0.59039942076833007,0.51195248897924517,0.52911313595792475,0.43844545736958823,0.40460934702376472,0.33255253624507636,0.3200714691590747,0.32402928969019401,0.23551350211087857,0.36843476965302224,0.22018002140713533,0.18381579101068202,0.23400382024540811,0.2489572430150033,0.076214165115393862,0.12392450451607052,0.13833210133889864,0.059645956094478383,0.085010003900106823,0.071788742290414154,0.091867699923780952,0.098319646121612814
88,0,0,0,0,0,1.4797515596625457,0,0.069789475836635848,0.10271446282635857,0.03944197246871399,0.090257180510568955,0.077584014560559258,0.1067647618435299,0.093741323758805478,0.12116040531563216,0.20970084107911074,0.28844427382112509,0.35864680408936112,0.51756642373759176,0.72999705700592854,0.89862164863863392,1.2762722709948722,1.171475844657055,1.118611537988224,1.2016869473140823,1.1229585496952184,1.1679280006258199,1.0756912054397183,1.0345505714766596,1.0131693007055782,0.95357948232918466,0.92884761060393906,0.9369834495507442,0.79642267618489981,0.77636138408990418,0.64694423752408137,0.64859630923545875,0.55713839874995552,0.59604328177611943,0.61467675458912852,0.46234935016037931,0.38929005021864088,0.45607221352175364,0.35094740459059565,0.30216077903688665,0.30883665314396774,0.35702969392402423,0.24615330630547175,0.32629414085336589,0.20324702598469008,0.24705055720828492,0.19726884426644145,0.17107516324902744,0.19491659097051389,0.12989928862206798,0.156504959413033,0.16597522718899252,0.10243082566022546,0.093851938580137031,0.086392434505780796
