true_bin,true_energy_GeV
0,0.025000000000000001
1,0.074999999999999997
2,0.125
3,0.17499999999999999
4,0.22500000000000001
5,0.27500000000000002
6,0.32500000000000001
7,0.375
8,0.42499999999999999
9,0.47499999999999998
10,0.52500000000000002
11,0.57499999999999996
12,0.62500000000000011
13,0.67500000000000004
14,0.72499999999999998
15,0.77500000000000002
16,0.82499999999999996
17,0.87500000000000011
18,0.92500000000000004
19,0.97499999999999998
20,1.0249999999999999
21,1.075
22,1.125
23,1.175
24,1.2250000000000001
25,1.2749999999999999
26,1.325
27,1.375
28,1.425
29,1.4750000000000001
30,1.5249999999999999
31,1.575
32,1.625
33,1.675
34,1.7250000000000001
35,1.7749999999999999
36,1.825
37,1.875
38,1.925
39,1.9750000000000001
40,2.0249999999999999
41,2.0750000000000002
42,2.125
43,2.1749999999999998
44,2.2250000000000001
45,2.2749999999999999
46,2.3250000000000002
47,2.375
48,2.4250000000000003
49,2.4750000000000001
50,2.5249999999999999
51,2.5750000000000002
52,2.625
53,2.6750000000000003
54,2.7250000000000001
55,2.7749999999999999
56,2.8250000000000002
57,2.875
58,2.9250000000000003
59,2.9750000000000001
