global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
62,0,0,0,0,0,0,3.1720055459228949,0,2.5920723926565272,2.6290984940485305,4.3138475090754529,8.6548478735734875,12.824902987946905,21.56777497619786,22.686889777623403,36.013506374502313,54.573299445129635,80.104353689563609,112.29641938159018,173.14923881577008,218.55940127449742,189.79608296491926,175.07672314598105,163.83859634793635,155.45188491890303,137.48556953328114,131.34686590025103,102.47101469852188,76.165839442985515,57.716572330462739,49.74490567700952,30.196833904585063,28.393522367526469,18.696875149537295,15.61071271053242,14.973583023211798,7.3482708834300672,7.8443687279677512,5.7019068419198149,4.4413004931499902,3.1026602057047459,1.4401072576885361,2.5245642938544655,1.7667839825897182,1.6409246034788483,1.3302923393440862,0.44938183359221912,1.1867658340688678,0.88214278355914832,0.31824612007683095,0,0.58079567283480349,0,0.53896445092319167,1.0254409136019487,0.89622734203194121,0.40601732877226893,0,0.6984734828933431,0.44797979072562299
63,0,0,0,0,0,0,0,2.4984035468762138,2.3904818813491633,0.00012166211432584092,2.9520882737024219,4.4017608843860936,4.7663718269380553,10.079535480759064,9.1368537737263154,13.098650190147351,22.543430335163976,32.302768605794228,47.581028458307813,61.1771936340621,99.194603837387021,137.63262794921431,163.94396094861881,149.97195125157492,119.25723589462368,120.2188483981928,99.583908466020929,104.53968430931413,87.713410430408345,72.830597675025402,60.974315841831519,46.692520604042464,33.270182030388185,23.031960299264501,19.665362435322844,13.131131664526732,10.521969471387038,10.272072527178356,9.5146014694026544,5.1724234696536477,4.3494121685392653,2.9969904172231097,1.0459107086537358,1.8864672053111284,1.0838790181353974,1.6662398190831216,0.5265353854186805,0.47102884449527677,1.1951983649363085,2.1577933035174488,0.68069482855455543,1.6448993142425421,0.40785116983110237,0.83974046040841954,0,0.31242197678247358,1.0459333277635046,0.63828762960388297,0.27582431739061336,0.4279981868589654
64,0,0,0,0,0,0,0,0.47885495479203199,0,0,2.6891544646430829,1.6505782670972746,3.190483186790543,5.0360875285227227,8.1328505390830816,6.6933633891117852,9.0039951423418607,11.891573215903028,17.149495574054686,28.196593725564551,43.196762787685074,56.564515542542601,72.575886148301223,100.18576462222434,117.3559309909229,92.640191774283764,81.644949348369011,68.089869769616968,61.402089318663101,57.806421235118798,54.1695446116711,44.834054178881381,38.925214207287766,25.612495598576174,26.394851027342675,15.977091686919968,15.612513336088169,8.0510928120324721,5.8187775338341048,4.8590674378825458,3.5060983312490435,2.3760356825252309,2.6135180743731707,2.5773550709771489,1.8431100565559357,2.8987131708896001,1.2126530457226532,1.9736045632893913,0.68818369190005624,1.2598519904934082,0,1.4708334236037173,0,0.39530414825622778,0.63913029632937746,0,0.63572036127148468,0.40641508357153472,0,0.89713836560021776
65,0,0,0,0,79.899522431276708,0,0,0,1.8984804361424161,0.48858839527935732,2.1162341584656179,0.29254973361034436,1.335519044109325,3.6536587397434435,2.778126490524385,2.6590252912196908,4.4640986633594206,5.479748181464756,8.8135190682141626,10.240355956886209,13.444313611795272,15.950091486613712,24.813662867196076,40.552126744208849,45.817933588106271,51.023888001203439,60.841970286860182,50.100551325313255,42.922145644023146,36.915414687824388,33.883486758378268,32.990467095072084,26.161269003716935,24.488252370237635,22.156679443222824,17.992548599578502,12.600296664094833,12.194562740270822,7.975213977689851,5.7860264552247394,4.6340551227974442,4.116897029551069,2.4558446858354994,1.3462384113537471,2.3313130329797245,0.65852935808364166,0.71772885144822951,1.4899595433629138,1.4556510332191543,0.48096111247555212,1.4188760266813274,0.79673315386573063,0.32257823090872006,0.5660516908459633,0.53848872779341395,0.24710123697629791,0,0.41164346649200223,0,0.23849652762575616
66,0,0,0,0,0,0,0,0,0.68072718540701771,0,0,0.93693400939111626,1.5611931262190373,1.380399311928096,1.3166930757782414,1.6647237235133492,3.0220432946136047,6.4373571148679725,3.9455091499804409,5.5464507627571988,6.1052343446646633,10.155883125615746,14.264246020563196,15.131388704529076,21.362970436210489,31.425572461160485,33.880848820255302,41.396993780083157,47.508345540179668,37.001932625836183,29.430839517012242,28.800556569753088,24.76061172514234,21.561435045069135,17.007209847065429,15.745312064837739,17.592476724602243,10.738326694830191,9.4662931275211317,7.724473481051791,6.1274537700013889,4.8762296688333722,5.5664657287405728,3.2094617588563938,4.373387234945497,0.23304521356084229,3.1948002700455094,0.9233495788503896,1.2275458672328647,1.7868515217921164,1.2080923607568457,0.37992509345488773,1.2160638881495918,0.68077192218055538,0,0.82900212653032468,0.9246362779292786,1.5089553712357797,1.2922332295314134,1.4127231744686948
67,0,0,0,0,0,0,0,0,0,0,0,0,0.97394861493782869,0.52315759094157421,1.1703526097394745,1.2118352406242285,2.310300829411851,1.9871483853340695,3.5951316124039323,4.3333993084693709,6.865066950942194,4.2073382384563756,8.3901529841609435,8.9292890596587231,14.941940771502422,11.978259618884952,16.210689557077266,20.569260290641068,25.483158759465116,32.644517742910956,21.788215440674325,25.597700206346001,18.659991572489698,21.18927861940044,15.191716872376491,13.046493778730659,12.27358958158834,10.29637009505333,10.285164541926033,9.6259331479682881,7.7498675910948824,5.44839067562285,4.9183432155306344,5.1766339230823393,2.4912290832653632,1.3430187959045645,1.475749342033039,1.6517479061067288,1.5734303409100945,0.72755727392721692,0.80851222166258752,0.76279121866677235,0.48796905242550298,0.68340687822438895,0.65012949589521629,0.37379384256903958,0,0.3090950326014052,0.73472417654684963,0.69663644556253634
68,0,0,0,0,0,0,0,0,0,0,0,0,0.00026565393379311859,0.39590503628614143,0.75463596422842294,0.59053332956286508,0.90786974639874096,1.1559496475548174,1.2046684315209861,2.1777377067365373,2.8815182396490706,2.3633887765072656,3.4583977372141836,2.7866627228645702,5.3816780962028492,5.1040207129394242,7.7831986636248622,11.43677168457508,12.421128403048231,14.573670780873314,13.377706143226444,18.328104571624056,12.58931840748313,12.163392708244421,10.467397582374,9.6772730744074131,6.858758641164215,8.0898873911564824,7.6351948466477264,5.6307455521389009,3.6093708574957142,6.5185162012212237,4.8772401191560952,3.2949286458271994,4.315971052557118,2.5301258732851628,2.189191950786237,1.2845544725516103,1.7768174775124126,1.3173236172783136,1.3930549673020056,1.1335803829203823,1.3175216649349766,0.9556039228335933,0.21852420113002988,0.58694796250825676,1.0299836221265044,0.78039043291959598,1.0363836934260944,0.33235259566995284
69,0,0,0,0,0,0,0,0.67099602254212232,0,0,0,0.2554132505750788,0.82262420821772786,0.51436727156527917,0.10908071623386907,0.8337370422941266,0.67051582590099101,1.2298113808205573,0.50300172950796962,1.1260445141496118,1.5816141623837541,1.4287362591534272,2.4726289160113213,1.0123009750554606,2.5262954296433464,2.1856512335344975,2.4345818971251036,5.1089892492999622,3.6133717268392416,5.0798534961839801,8.239798056266169,9.0236421544742669,11.141633302825822,8.3768489748316135,7.251923100409841,8.1321202132444004,6.6316293222172602,6.6290757911998295,5.6538243813312903,4.077963842323407,3.4256688157304471,2.0357028997466347,2.5695994765004819,3.2928598316368531,1.319708874284,0.98913596227993872,2.4145687155861424,1.7065024381347467,1.2033463190081939,1.2495104941321671,2.5291819681914225,1.0752259853412514,0.30040439898918547,0.2178845553364776,1.1564734828324266,0.55673308292977464,0.40553268612904086,0.65343158660957279,0.28835689476908888,0.63048752879670555
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1917367178118769,0,0,0.59117146717192837,1.5058405402658015,0.45163437864922878,0.94132352402328512,0.47457886587912362,0.9894224004324228,1.5305102868775675,3.844214870607467,3.3519414246557506,3.6033151869118569,1.1937715639390285,3.3644466604047572,3.0814069875735068,2.9829121484385692,4.3607048435205993,2.8039285621711403,3.5414647432352533,6.182296776456492,6.2513127730283369,6.8807377803191034,5.9625579402615161,3.6337810605619709,3.8637192880258677,2.4624011192033985,4.2510828943618613,3.2612148314566891,4.0953215568189556,1.2224663347657196,1.7485012963498001,2.7072077763883455,0,3.0168558505440086,0.26565766404519653,0.30285936363219423,0.8142565959370206,0.3175261540890808,0.57244382745251621,0.70985253346222987,1.8599818091309781,1.2232957102466626,0.47386103840523119,0.25733321136419196,1.0799967010021758,1.4054386018257308
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.80351849012495158,0.2678657971757884,0.13840835320760259,0.75295189854146405,0.98313919632984148,0.66859464594954199,0.68127905413059953,1.3811787784983329,1.4533627579044039,1.4552211132925175,1.125224098974992,1.9525782295598584,1.9359725734457753,3.3858480384871354,2.0998623241268528,5.0277359404218478,2.0520243310022317,3.4842149838242173,4.4232548480877654,4.2859614319290085,3.0756861294558702,2.0840634743426421,3.4529529999937423,2.4437694969928527,1.4466436140821981,2.0709710276296485,2.4572481884745212,1.7175596862763871,2.9689559424844223,3.7696361559581661,0.9778218851072189,1.2966551210583308,1.7234444453923883,1.1374511459078245,1.3725598889068678,1.344480002652497,0.48757845844206921,0.33372282677601145,0.6726013914100416,0,0.6043900555923154,0.32709663034095743,0.5630287841166941
