global_reco_bin,fixed_published_background_counts
0,9.2950600000000001e-08
1,1.37232
2,2.4190499999999999
3,5.29115
4,3.20933
5,5.4722299999999997
6,5.8923699999999997
7,4.8585099999999999
8,4.0061900000000001
9,2.5697199999999998
10,2.6894499999999999
11,1.19198
12,1.9441999999999999
13,2.6277300000000001
14,1.0890500000000001
15,1.65235
16,1.7649900000000001
17,1.11259
18,0.82336399999999998
19,1.1613100000000001
20,1.3015600000000001
21,0.75478800000000001
22,0.87293600000000005
23,1.117
24,0.27839599999999998
25,6.0433399999999997
26,1.0202299999999999e-09
27,0.34133000000000002
28,2.54956
29,0.921956
30,0.77121700000000004
31,1.80393
32,2.37853
33,3.9171200000000002
34,1.82491
35,2.2949000000000002
36,2.5405500000000001
37,2.9654799999999999
38,2.14866
39,1.85945
40,1.5962499999999999
41,2.5618400000000001
42,2.0375299999999998
43,2.5152700000000001
44,1.6519699999999999
45,1.59812
46,1.0742
47,2.3232599999999999
48,1.3017300000000001
49,0.91732499999999995
50,1.45173
51,10.289300000000001
52,2.8219699999999999
53,7.2233400000000003
54,157.488
55,370.72199999999998
56,499.06
57,543.73599999999999
58,554.81399999999996
59,476.61599999999999
60,431.95999999999998
61,360.404
62,305.52699999999999
63,241.249
64,197.25800000000001
65,154.995
66,138.744
67,93.679900000000004
68,64.626000000000005
69,45.071199999999997
70,34.416200000000003
71,34.997900000000001
72,19.524999999999999
73,19.858899999999998
74,11.332599999999999
75,9.8338800000000006
76,9.3301599999999993
77,53.9923
78,10.120699999999999
79,34.1355
80,336.517
81,661.02300000000002
82,917.03499999999997
83,1023.54
84,1051.3199999999999
85,1003.1799999999999
86,920.10400000000004
87,774.74699999999996
88,642.68899999999996
89,530.11699999999996
90,413.70299999999997
91,325.685
92,269.35399999999998
93,222.678
94,162.61799999999999
95,132.30000000000001
96,109.575
97,97.125399999999999
98,75.717299999999994
99,65.502700000000004
100,59.861199999999997
101,49.150300000000001
102,40.797199999999997
103,280.471
