global_reco_bin,true_bin_000,true_bin_001,true_bin_002,true_bin_003,true_bin_004,true_bin_005,true_bin_006,true_bin_007,true_bin_008,true_bin_009,true_bin_010,true_bin_011,true_bin_012,true_bin_013,true_bin_014,true_bin_015,true_bin_016,true_bin_017,true_bin_018,true_bin_019,true_bin_020,true_bin_021,true_bin_022,true_bin_023,true_bin_024,true_bin_025,true_bin_026,true_bin_027,true_bin_028,true_bin_029,true_bin_030,true_bin_031,true_bin_032,true_bin_033,true_bin_034,true_bin_035,true_bin_036,true_bin_037,true_bin_038,true_bin_039,true_bin_040,true_bin_041,true_bin_042,true_bin_043,true_bin_044,true_bin_045,true_bin_046,true_bin_047,true_bin_048,true_bin_049,true_bin_050,true_bin_051,true_bin_052,true_bin_053,true_bin_054,true_bin_055,true_bin_056,true_bin_057,true_bin_058,true_bin_059
84,0,0,0,0,0,0,0,4.1567839912602302,4.1720721282670619,4.3233606626930463,7.131130290218584,11.448361314910525,21.148208630228901,24.838667330525681,26.38652205390774,24.050886592889121,21.664761702392578,18.31551757072797,17.170816294750818,15.432670777990548,12.303112232214,11.343036436012374,10.721924811141919,9.3240783958694315,7.873380357173728,7.1125050367281011,5.9506917258415344,5.4704554112312112,4.6523937574594898,3.9842104226661159,3.5829590026959761,3.0109430060896463,2.5413161538332218,2.2748627630668872,1.9342161437695367,1.5369098174884694,1.341910318539429,1.1392143334722098,0.8189983356870485,0.68032366700021396,0.55085543155459393,0.52136207829063541,0.54887157124700992,0.38821752357400624,0.36353232400143742,0.32123417780318275,0.14086209751388498,0.2214399051172114,0.15043684066503316,0.10825481198591394,0.1798701151279746,0.080458139020804051,0.070849395242990498,0.064382010482508092,0.048605620942656129,0.032138303367951322,0.057598849012466584,0.049220508195171625,0.017240341814183369,0.015578548588907162
85,0,0,0,0,0,0,0.98312646336903997,0,1.6432667424431979,3.7250703193168504,3.5208725580286209,4.6903833350770068,7.0674858814658874,10.261563577993224,16.716878184707117,18.865051234685531,18.906251952246855,19.510953593216261,17.887853425912752,16.489468416440953,15.148935729281536,13.044619804004855,11.572091628698976,10.416463480923859,9.3998451397105782,8.4034783445460501,7.3976151534515013,6.3356541802500006,6.0043327870589644,5.0125506111885434,4.6161835983493749,3.4255427134725038,2.9198618377793348,2.7779649803180417,2.3332530955358566,1.8382692336332538,1.6698624213593978,1.4747537797916732,1.2818996004261898,0.8658504228720143,0.96978368049540908,0.68026973875518604,0.51814485838037516,0.44896931647859317,0.50148280248123556,0.31990811982349976,0.25143498445174461,0.21136537283919571,0.21428895055541311,0.13539835541950859,0.09929905656455297,0.079791774521862618,0.088926932456559971,0.04893651428767052,0.065841036015488186,0.057535940532982915,0.03411839389951303,0.028377955794450144,0.022649561675401265,0.019169366400118942
86,0,0,0,0,0,0,0.0026780584989816265,0.59792384814549315,0.4787427577973547,1.017508040499564,1.6143582335364299,2.0594672993855099,2.1931120767204106,4.0899759839060374,5.3338907568184206,7.7972983649380661,13.227585476009752,14.363147960130371,14.802252547511275,13.891778379357779,13.699347773154402,12.897220389291885,12.069864064060113,10.943598137095213,9.8838301757298339,8.9539293697312932,8.0207691074362408,7.073902691156543,6.3669183205944195,5.7963632100985523,5.0276756537482932,4.202721057253533,3.4853359651806817,2.8070802255252567,2.7854355632160068,2.3973827542520212,1.9064029508764828,1.6186768133959903,1.5132983598305842,1.3072285464576563,1.0711692136056155,1.0486793704511252,0.69991313557363277,0.49867983965556889,0.52332206365725009,0.47998645845151294,0.3591217039997201,0.25372975640910111,0.19005389642992399,0.21516100847558006,0.14398822684486495,0.1000783187012222,0.15025546384353386,0.10355399205651092,0.055800445533537295,0.08274852346330247,0.047454735335009858,0.046240894522854271,0.023821256183511677,0.035123558327925415
87,0,0,0,0,0,0,0,1.9700213632704262,2.0615379934458273,2.0303060349254793,0.70737202556437473,1.6548589783310959,1.3449798547239091,2.2694640259210708,2.1499268730139103,3.5026765795841297,5.1181304593379462,6.6593333472861342,9.0485619968512445,10.070506958511753,11.449323181423745,10.393369905204912,10.575720323144512,10.288424641532833,9.8376848454572592,8.602908585535884,7.7209471317670237,7.0393982779463133,5.6806242171612444,5.4227928092994535,4.9578624177869388,4.4036023555117927,3.894626495844026,3.2839845205263889,2.7520172565995811,2.5664087668568047,2.0174021362345176,1.6581925478616044,1.6311775119487066,1.3116861230336598,1.2434936040460729,0.95603184625152304,0.82436572575687062,0.61891722023389206,0.5465039065641677,0.4905170661438088,0.32497748491126371,0.46679908754633503,0.25737009224985313,0.18902119394195799,0.22660005603821878,0.22078442847381566,0.063701649329918189,0.086374242197270509,0.089583775734418156,0.034420260730430627,0.044688756650564022,0.034333746312806772,0.041334098527730276,0.03828914451876287
88,0,0,0,0,0,19.14891860602274,0,0.80264323499040668,1.1336346462739479,0.40204873290159127,0.86379998930194879,0.69877046468206216,0.93996634204055785,0.79190113729881817,0.98880170158381775,1.6534104777391425,2.2005987557025115,2.671166454273131,3.7965336021999256,5.1931492057780479,6.2611128492260653,8.500730166755643,7.7010031116014117,7.0719418385851185,7.6046124527873626,6.6662607580088213,6.7104181805868475,5.7790582692244179,5.3962034525135598,4.9022659019646966,4.4324933729478877,4.0514423999425073,3.8249461365222159,3.053951615445857,2.8336517762449538,2.1328618262433237,2.0632115695493152,1.6306210230793639,1.6467705813736215,1.5748785024045708,1.0865888988343098,0.8488483098232924,0.92921803231431599,0.65315211409916407,0.51592241754000456,0.46751838132500967,0.49265375840508263,0.31187105084604266,0.38140768901431255,0.20900269397717688,0.23923400074819537,0.17494525770608599,0.14298877435510876,0.13585507484978657,0.084122691893985815,0.090315284745695376,0.087251219828042431,0.048988655750542606,0.042226868415214121,0.033644266843963447
89,0,0,0,0,0,0,0,0,0,1.2425747081684348e-05,0.93728762593850157,0.63493892690988241,0.35054368050372331,0.63920240470237488,0.86528969435914171,0.99644943390379237,0.91938583100719895,1.867667739629828,1.652746364929109,2.6515599903767613,3.0053226775162454,4.2851195480025437,5.007240533446951,5.2668185845345183,5.8516767936878207,5.6287513234383493,4.7475950294470728,5.1862667086565626,4.7806599212540757,5.0433728737365326,4.1281467951417241,3.7730469835793019,3.5381346107913569,3.1850226582629797,2.5108959070419896,2.4881312468271579,2.3589967865296178,1.8162768401263729,1.6313633679600756,1.4850524950089401,1.3803497842250523,1.2673796965800161,0.80898477957264459,0.84716894552271171,0.69177991863316513,0.66944858183226597,0.37705533431397598,0.43270724058205468,0.39700984886742685,0.34974240968399634,0.18536841864559322,0.20784230366126616,0.17550231079861869,0.11465269511292424,0.089183569429717738,0.11013620807861016,0.06876611716401887,0.050249076095427683,0.073360874737617904,0.035041363065848603
90,0,0,0,0,0,0,0.0032695125884551392,0,0,0.59852110485119558,0.53903199534937052,0.59936275702673081,0.53353394243562868,0.44014791168277229,0.52224184249972794,0.65857107267786685,0.87328019573722293,0.76247891145371827,0.89184582763742171,1.2677827071604777,1.9257309424612572,1.8385218256574274,2.4378719964191391,2.9112381106392387,3.5553228215596682,4.1452879466911865,3.8190470525394482,4.0141463736246621,3.5272222008903991,3.4480750145904184,3.6231714885515158,3.2783243839450247,2.9909567590706847,2.6641702973862502,2.1673232757083927,2.1033504781502161,1.8100461975982822,1.7029127075876676,1.4616510920590973,1.5165875457147593,1.2339758283595208,0.94508604403744101,1.1134818948163916,0.84160062390974655,0.68131871437132241,0.56220045334498847,0.55918571691906527,0.50203092958539997,0.33510258605512644,0.23484418500487012,0.16687250727631245,0.11350731834155245,0.1695330148458955,0.12411425033820132,0.12995270277722901,0.068769689542127255,0.086835197136589284,0.076297599881875455,0.079845600378222137,0.022715708318602784
91,0,0,0,0,0,0,0,0,0,0.17823786925004195,0.15950776519502982,0.2241561662928081,0.28000913829168522,0.31530529417345282,0.45679784232355669,0.539228191217763,0.43308652214863413,0.60823546321743704,0.54610876236814254,0.76461156852108048,0.65105672773220324,1.2772311777049754,1.0508498963741029,1.5330683934694231,2.0981629650831604,2.2080223817552498,2.8000007136294744,2.736758102008582,2.6235948910104132,2.4096423406761298,2.3610524914720696,2.4277093468217266,2.2452182720395504,2.1768691456396154,2.2872952007025393,2.5042237627522925,1.5732713646203296,1.6614199598708081,1.7907744850197123,1.1946662209715697,0.98610559568861722,0.93409068888139457,0.95276734907106553,0.71752840293922171,0.6647186392641119,0.53369919325142923,0.36124519972258046,0.2323680058728492,0.40300273816228022,0.29066958564158352,0.27243922586706321,0.22758969198540063,0.16606460208517093,0.16438675850544421,0.15579663345868158,0.092995865169089684,0.079235491691949045,0.07759565966494629,0.071094067629513119,0.048292382873257662
92,0,0,0,0,0,0,0,0,0,0.18698800151739361,0,0.31920155445974513,0,0.23755845510338391,0.17468467948867114,0.2280982509486584,0.42090011968305308,0.59794293367541251,0.47804774262951616,0.48946855170104053,0.37640306443337246,0.46775186164810684,0.66083294764743683,0.81541278219766178,1.0237620735401305,1.127473708624154,1.5170543835225918,1.464184755978718,1.7216863795004935,2.1513474353581223,1.6638386051970566,1.5938369412278093,1.5291503080730131,1.5671202302027247,1.513308510377694,1.39655255935015,1.4792527243510654,1.3308947027518683,1.1541529295106787,1.2284302751301992,0.76948603452235187,0.82441416208870621,0.72911302076242079,0.5846246893700936,0.43275510097632325,0.52267072277702231,0.46234751397115403,0.42768073373591453,0.26474425385333999,0.38986232147375038,0.19443865364656424,0.15220528913296413,0.16168963137050227,0.11446807656132782,0.11259174471475153,0.074126398070452695,0.087268536973613475,0.069074766884733366,0.032260305532717408,0.038379207093797073
93,0,0,0,0,0,0,0,0,0,0.28524521508262757,0,0.12510592070884688,0.071769251310312601,0.14903265009178546,0.15801578613640288,0.18863276302683699,0.27850048592201265,0.21127756874461062,0.32859016046014033,0.26695153302240893,0.22529552173995029,0.41006905430442686,0.32262416230751167,0.48709673729094827,0.47538381143556602,0.64524274961746286,1.0071761619380595,0.61453444319116735,1.0993273570423134,1.4588404129586929,1.3455998289022035,1.4466623774422604,1.3834288552363898,1.2292356994796578,1.3644691374103,0.91226477906527037,0.98494393735842078,0.97792084539552793,1.0736233902415977,0.92238035819436492,0.82353895511027941,0.76609328687375089,0.58616230782627965,0.66684859763468418,0.51385554383659304,0.42995069379064127,0.44197109377836935,0.32391036658990124,0.28507098237673834,0.18871182558810815,0.21512845499018607,0.20060341525964312,0.16243096138866539,0.11600930009069109,0.14624181844585257,0.083082084498106279,0.06570126507252641,0.065158466927930231,0.05849830187802655,0.072116778487306313
