## numu CC inclusive total cross section per nucleon as a function
of neutrino energy 
1	0.2	    0.54	0.3818	0.3367	0.04369
2	0.54	0.705	0.622	0.6751	0.06562
3	0.705	0.805	0.7546	0.9309	0.08193
4	0.805	0.92	0.8615	1.092	0.08613
5	0.92	1.05	0.9833	1.192	0.09354
6	1.05	1.2	    1.122	1.234	0.1199
7	1.2	    1.375	1.282	1.292	0.1394
8	1.375	1.57	1.463	1.401	0.1877
9	1.57	2.05	1.735	1.571	0.2641
10	2.05	4.0	    2.619	1.977	0.378
