true_bin,true_energy_GeV
0,0.025000000000000001
1,0.075000000000000011
2,0.125
3,0.17500000000000002
4,0.22500000000000001
5,0.27500000000000002
6,0.32500000000000007
7,0.375
8,0.42500000000000004
9,0.47499999999999998
10,0.52500000000000002
11,0.57500000000000007
12,0.625
13,0.67500000000000004
14,0.72500000000000009
15,0.77500000000000002
16,0.82500000000000007
17,0.875
18,0.92500000000000004
19,0.97500000000000009
20,1.0249999999999999
21,1.0750000000000002
22,1.125
23,1.1750000000000003
24,1.2250000000000001
25,1.2749999999999999
26,1.3250000000000002
27,1.375
28,1.4250000000000003
29,1.4750000000000001
30,1.5249999999999999
31,1.5750000000000002
32,1.625
33,1.6750000000000003
34,1.7250000000000001
35,1.7749999999999999
36,1.8250000000000002
37,1.875
38,1.9250000000000003
39,1.9750000000000001
40,2.0250000000000004
41,2.0750000000000002
42,2.125
43,2.1749999999999998
44,2.2250000000000001
45,2.2750000000000004
46,2.3250000000000002
47,2.375
48,2.4250000000000003
49,2.4750000000000001
50,2.5250000000000004
51,2.5750000000000002
52,2.625
53,2.6750000000000003
54,2.7250000000000001
55,2.7750000000000004
56,2.8250000000000002
57,2.875
58,2.9250000000000003
59,2.9750000000000001
