"tested_point_index","delta_m2_eV2","sin2_2theta_mue","toys","observed_profiled_delta_nll","toy_90_critical","toy_95_critical","toy_99_critical","toy_mean","toy_standard_deviation"
"119","0.01","0.0495941","10000","28.67562785952788","3.785966380571381","5.127042941164689","8.52063144833295","1.3865217988117784","1.870472940085424"
"120","0.01","0.051769","10000","28.66650254426787","3.8801270465069706","5.291795535331914","8.673726248815512","1.4218770166917472","1.9359316200165881"
"121","0.01","0.0540392","10000","28.65697913575076","3.7585125511037063","5.2207965480106395","8.54454485204593","1.3686922788518014","1.8618629431125053"
"122","0.01","0.0564091","10000","28.647039407909688","3.8252134944179375","5.302833666684592","8.449843723405081","1.3742707364394104","1.8783140899875757"
"123","0.01","0.0588828","10000","28.636666417181118","3.8695744526810927","5.316299829586228","8.68430135548914","1.4144778880138709","1.942448408502927"
"124","0.01","0.061465","10000","28.625840729927575","3.7142047852237283","5.050062945662546","8.445411298280817","1.37654043621419","1.8271960029634358"
"125","0.01","0.0641605","10000","28.614542522290947","3.8856422774387624","5.439572441559335","8.927051627832782","1.440905360061234","1.9330963064139914"
"126","0.01","0.0669741","10000","28.602752001494196","3.880496787134689","5.284789902352202","8.702704956282332","1.4116818908866393","1.9024227060441847"
"127","0.01","0.0699112","10000","28.59044689435575","3.872401860461025","5.156558986826724","8.359913788611152","1.3995831797651688","1.8612516978194575"
"128","0.01","0.072977","10000","28.577605802881692","3.7973090291300196","5.133423884374679","8.627161074862101","1.390512979637107","1.8608972669708854"
"129","0.01","0.0761773","10000","28.564204856033996","3.855562526620872","5.338961421803333","8.395940077945397","1.4226633748972708","1.9000313999031577"
"130","0.01","0.079518","10000","28.550219808435997","3.882041498079218","5.356863313711813","8.682771909153132","1.4256031405229008","1.8955453267381317"
"131","0.01","0.0830051","10000","28.535626043759294","3.8963967389148593","5.275679083398188","8.251453795497582","1.4097819679717114","1.854901279395691"
"132","0.01","0.0866452","10000","28.520396486681364","3.8695367345771956","5.255119810491351","8.532843504898835","1.4123364570490855","1.900638310056693"
"133","0.01","0.0904449","10000","28.504504119109185","3.885347356821171","5.261255325452396","8.42054393878476","1.418318322227067","1.8738614036834036"
"134","0.01","0.0944112","10000","28.487920311546816","3.8634268423501794","5.316316483527544","8.977419369098357","1.4221757083577486","1.9226780999703927"
"135","0.01","0.0985515","10000","28.47061482973197","3.7003446794442993","5.140277705604603","8.359322198663904","1.36977660522634","1.8469408046513833"
"136","0.01","0.102873","10000","28.45255834828032","3.828419334563705","5.174232427299273","8.58035072849259","1.4106715978686541","1.8665799860249452"
"137","0.01","0.107385","10000","28.43371284896699","3.9107246926731705","5.416335449982967","8.610357801777866","1.4491927492722008","1.900654517821029"
"138","0.01","0.112094","10000","28.41405209673718","3.8563764158739104","5.306509108639716","8.514251056357011","1.422636841992669","1.8750209291818416"
"139","0.01","0.11701","10000","28.393535334586772","3.846746815430606","5.310139806429163","8.523029967947082","1.4270474882735318","1.9008276076398236"
"140","0.01","0.122141","10000","28.37213025883949","3.858348001878653","5.2344178590209935","8.418894474226363","1.4308034941551981","1.8773176957880315"
"141","0.01","0.127497","10000","28.34979633201607","3.968266033520308","5.2916621726582775","8.428138722548283","1.4574517544111405","1.8816446428435258"
"142","0.01","0.133088","10000","28.32649314237085","3.8472875363655135","5.346749459382295","8.817804629691182","1.4384269139831218","1.893566024440166"
"143","0.01","0.138925","10000","28.30217624687981","3.870198696739294","5.202161396786721","8.541883785711718","1.4252602133167194","1.871957499145263"
"144","0.01","0.145017","10000","28.27680967869918","3.7359898180043842","5.099179685013212","8.288984482066155","1.408478936190472","1.8260910594802862"
"145","0.01","0.151377","10000","28.25034097076417","4.001191301503297","5.505193907188129","8.75152042299112","1.4676164936010885","1.9174760423881787"
"146","0.01","0.158015","10000","28.22273031833288","3.790641031825146","5.227454627873215","8.47665245163273","1.427561405224829","1.8491306049784806"
"147","0.01","0.164945","10000","28.19392146372371","3.7600363372077936","5.081836644742282","8.446978586666944","1.4075570411014753","1.8290894871714867"
"148","0.01","0.172178","10000","28.16387083019964","3.8608879753123233","5.3399738042101035","8.658245702269369","1.444561162910034","1.8678603656930406"
"149","0.01","0.179729","10000","28.132518441585546","3.846952423913649","5.260773810340822","8.385468706289771","1.4478537569452388","1.8335763154677829"
"150","0.01","0.18761","10000","28.099817024996298","3.8705015472856417","5.379628102819481","8.775453649005271","1.4685262312824479","1.8866059279868417"
"151","0.01","0.195838","10000","28.065698823389255","3.893891296669608","5.256514424212298","8.339853585944525","1.4531230622868891","1.840475048956114"
"152","0.01","0.204426","10000","28.03011296369931","3.819992481351278","5.218504489988675","8.595953431829571","1.4534987552459193","1.8595302912568312"
"153","0.01","0.213391","10000","27.992992302795642","3.914121497860151","5.3193182804490675","8.346894683627795","1.4791961407823564","1.859139129508157"
"154","0.01","0.222749","10000","27.954274187923602","3.813587167164485","5.284448082343886","8.662610232677423","1.4622503012591122","1.8723959926074973"
"155","0.01","0.232517","10000","27.91389219743337","3.859984712408732","5.259171765117912","8.876353905221322","1.4726528382392303","1.8982660616823799"
"156","0.01","0.242714","10000","27.871772051629137","3.825773258192555","5.240815291487934","8.479850577665843","1.464571956625529","1.8619799198154796"
"157","0.01","0.253357","10000","27.82784817485009","3.9269332854235586","5.200032945269413","8.260527105743279","1.4730505668554665","1.8118935963044636"
