true_bin,raw_column_sum,is_nonzero_column
0,0,False
1,0,False
2,0,False
3,0,False
4,0.59250013828161296,True
5,6.2843655507557834,True
6,57.827851427743802,True
7,145.17091736391583,True
8,319.32910659933816,True
9,550.84199134360506,True
10,826.09990996456986,True
11,1158.9666690638148,True
12,1510.2461358665623,True
13,2004.951622946922,True
14,2363.1893405808237,True
15,2801.3843086039283,True
16,3138.8502303969499,True
17,3430.7757159096996,True
18,3679.4768548996039,True
19,3891.354967555877,True
20,4090.4450663763523,True
21,4069.4477178639431,True
22,4048.960719052292,True
23,3981.7383176256708,True
24,3919.0079921744032,True
25,3683.1456471921915,True
26,3601.9101582346398,True
27,3281.1735301672888,True
28,3096.6602321587461,True
29,2835.5704044287686,True
30,2530.2513237631269,True
31,2357.9122692976739,True
32,1978.480185755607,True
33,1743.3807779342465,True
34,1532.3075995645404,True
35,1354.0341177615464,True
36,1118.7090565001808,True
37,944.53910311322272,True
38,781.81488109629072,True
39,645.7967494301995,True
40,512.46903297540098,True
41,452.7680449856299,True
42,372.76650719502294,True
43,329.55997973777414,True
44,264.45075063543624,True
45,227.91889599061591,True
46,231.78046665939561,True
47,173.22447097401508,True
48,175.003754745647,True
49,178.05812003715673,True
50,163.46134285582616,True
51,141.43907164169701,True
52,159.92436338999184,True
53,133.90463188055671,True
54,142.20665807615441,True
55,143.16751751813888,True
56,128.280428685885,True
57,140.30265621027056,True
58,120.82882155774375,True
59,118.00130884320033,True
