true_bin,raw_column_sum,is_nonzero_column
0,0,False
1,0,False
2,0,False
3,0,False
4,3.9731339675589705,True
5,80.334287978823284,True
6,319.14541651146106,True
7,605.36476317066081,True
8,918.57990426104686,True
9,1187.9427572001332,True
10,1491.0438890204459,True
11,1732.2439137174365,True
12,1952.2036145978107,True
13,2161.1770707516616,True
14,2250.8457506247491,True
15,2229.030557788612,True
16,2239.0947590025389,True
17,2108.0333150740844,True
18,2033.1295338698701,True
19,1881.8046425685636,True
20,1704.3845819652688,True
21,1594.9836620791405,True
22,1397.542201222901,True
23,1312.157345570804,True
24,1106.4352042085022,True
25,1060.4439052557168,True
26,897.13989439729437,True
27,870.07374007131853,True
28,690.59243832656477,True
29,630.05495285108634,True
30,530.59623398865949,True
31,464.98147614562453,True
32,381.82618486703836,True
33,332.55278601104698,True
34,268.55923077658173,True
35,233.48030330016152,True
36,174.82904046680684,True
37,154.25295463522389,True
38,108.59071031156684,True
39,99.240392904412744,True
40,63.265581853222571,True
41,62.418450468803485,True
42,51.461091052645365,True
43,35.914103501501231,True
44,34.595192780064686,True
45,24.292659843466357,True
46,19.586212098239717,True
47,22.374949294123407,True
48,17.782552852252273,True
49,14.196869536741694,True
50,8.2096374249393769,True
51,11.377928510603764,True
52,8.3909135394042575,True
53,10.73920436853791,True
54,10.673627131441195,True
55,9.2527573996314558,True
56,7.0446606233642264,True
57,7.0869218415508097,True
58,9.088520863004323,True
59,7.9938158203669714,True
