true_bin,raw_column_sum,is_nonzero_column
0,0,False
1,0,False
2,0.0003904410742343011,True
3,0.10962530845210899,True
4,0.37484411105936083,True
5,0.86579949415478918,True
6,1.5383922051162993,True
7,2.3986272164566609,True
8,3.5909755620501542,True
9,4.0050367940925913,True
10,5.490248346846613,True
11,6.8180689773892773,True
12,8.1897963213236906,True
13,8.7651690079119309,True
14,8.5892928910930451,True
15,9.4549883816512974,True
16,9.2456469605917473,True
17,9.5982493085075795,True
18,9.7417012497175595,True
19,9.9194219682289226,True
20,9.5591055386479109,True
21,10.119657651021324,True
22,10.603069974845162,True
23,9.9931060759532766,True
24,9.4109878134578473,True
25,9.4804544234255559,True
26,9.4390628669733836,True
27,9.0009357550731472,True
28,8.6796427296920733,True
29,7.9040693363112746,True
30,7.980866716160568,True
31,7.9988389889846623,True
32,6.9374582702157781,True
33,6.7129316469148819,True
34,6.840961313974562,True
35,6.7018394567834907,True
36,5.6129529815071555,True
37,6.3648472161642706,True
38,5.5862336098025374,True
39,5.7067250129068201,True
40,5.0096417825448558,True
41,4.3873899843728932,True
42,4.3255530982671919,True
43,4.2183890641161357,True
44,4.0352123363311891,True
45,3.9320471771736596,True
46,3.8944856199891569,True
47,3.1885233737858196,True
48,3.4471810058299628,True
49,3.0063710235847556,True
50,2.9654888322959407,True
51,2.4432548010311708,True
52,2.755003172750575,True
53,2.3349010158209929,True
54,1.9668791890396138,True
55,1.8679689745303116,True
56,1.6210719260784021,True
57,1.48115904002817,True
58,1.4268433081386915,True
59,1.1478101804887475,True
